data_key,scope_order,in_scope,selected_channel_name,selected_channel_name_normalized,selected_channel_name_sort_key,network,feed,location,group_title,category_guess,language_guess,tvg_id,tvg_name,tvg_logo,match_key_tvg_id,match_key_tvg_name,match_key_channel_name,match_key_name_group,source_channel_order,source_duplicate_key,source_stream_host,notes
tvg_id::1,1,Y,A&E (East),A&E (East),a e east,A&E,East,,Entertainment,Entertainment,,1,A&E (East),,1,a and e east,a and e east,a and e east::entertainment,10,tvg_id::1,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::2,2,Y,ABC 7 WABC NEW YORK,ABC 7 WABC NEW YORK,abc 7 wabc new york,ABC,,"New York, NY",Local Channels,Local,,2,ABC 7 WABC NEW YORK,,2,abc 7 wabc new york,abc 7 wabc new york,abc 7 wabc new york::local channels,2777,tvg_id::2,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::3301,3,Y,ABC KGTV San Diego CA,ABC KGTV San Diego CA,abc kgtv san diego ca,ABC,,"San Diego, CA",Local Channels,Local,,3301,ABC KGTV San Diego CA,,3301,abc kgtv san diego ca,abc kgtv san diego ca,abc kgtv san diego ca::local channels,2847,tvg_id::3301,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::6,4,Y,AMC (East),AMC (East),amc east,AMC,East,,Entertainment,Entertainment,,6,AMC (East),,6,amc east,amc east,amc east::entertainment,11,tvg_id::6,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::7,5,Y,AMC (West),AMC (West),amc west,AMC,West,,Entertainment,Entertainment,,7,AMC (West),,7,amc west,amc west,amc west::entertainment,12,tvg_id::7,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::9,6,Y,Animal Planet (East),Animal Planet (East),animal planet east,Animal Planet,East,,Entertainment,Entertainment,,9,Animal Planet (East),,9,animal planet east,animal planet east,animal planet east::entertainment,14,tvg_id::9,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::10,7,Y,Animal Planet (West),Animal Planet (West),animal planet west,Animal Planet,West,,Entertainment,Entertainment,,10,Animal Planet (West),,10,animal planet west,animal planet west,animal planet west::entertainment,15,tvg_id::10,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::39,8,Y,Bravo (East),Bravo (East),bravo east,Bravo,East,,Entertainment,Entertainment,,39,Bravo (East),,39,bravo east,bravo east,bravo east::entertainment,31,tvg_id::39,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::40,9,Y,Bravo (West),Bravo (West),bravo west,Bravo,West,,Entertainment,Entertainment,,40,Bravo (West),,40,bravo west,bravo west,bravo west::entertainment,32,tvg_id::40,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
tvg_id::5100,10,Y,CA | San Diego | ABC KGTV,CA | San Diego | ABC KGTV,ca san diego abc kgtv,ABC,,"San Diego, CA",ABC - LOCAL,Local,,5100,CA | San Diego | ABC KGTV,,5100,ca san diego abc kgtv,ca san diego abc kgtv,ca san diego abc kgtv::abc local,3852,tvg_id::5100,s2.thetvapp.to,Imported from reviewed in-scope channel inventory; raw stream URL intentionally excluded.
