"Count","Name"
"1970",".xml"
"1471",".js"
"995",".json"
"893",".md"
"838",".html"
"708",".m3u"
"485",".txt"
"369",".dll"
"349",".dylib"
"314",".dat"
"299",".csv"
"299",".ts"
"247",".py"
"114",".bak"
"92",".gz"
"81",".ps1"
"80",".yml"
"65",".pdf"
"63",".rs"
"56",".tsx"
"51",".zip"
"50",""
"45",".tsv"
"36",".xlsx"
"32",".scss"
"32",".gitignore"
"30",".png"
"28",".dbf"
"22",".sh"
"20",".m3u8"
"19",".bat"
"17",".pyi"
"17",".css"
"14",".cs"
"9",".bjl"
"9",".gitkeep"
"9",".pyd"
"9",".yaml"
"9",".svg"
"8",".gitattributes"
"8",".xlsm"
"7",".mjs"
"7",".lock"
"6",".jar"
"5",".log"
"5",".docx"
"5",".sql"
"4",".ini"
"3",".mts"
"3",".htm"
"3",".ico"
"3",".toml"
"2",".bin"
"2",".tws"
"2",".csproj"
"2",".listing"
"2",".thmx"
"2",".jsonl"
"2",".jpg"
"2",".dockerignore"
"2",".pyw"
"2",".java"
"1",".bak2"
"1",".tsv,csv"
"1",".mif"
"1",".spec"
"1",".iml"
"1",".iss"
"1",".download"
"1",".flake8"
"1",".dbt"
"1",".com+dropboc_api+++"
"1",".raw"
"1",".pest"
"1",".files"
"1",".prettierrc"
"1",".check"
"1",".diff"
"1",".bas"
"1",".b4j"
"1",".meta"
"1",".mdx"
"1",".exe"
"1",".http"
"1",".sln"
