channel_id,display_name
10026.stations.xmltv.tvmedia.ca,FX Networks Canada
10027.stations.xmltv.tvmedia.ca,FX Networks Canada HD
10042.stations.xmltv.tvmedia.ca,CTV Sci-Fi HD
10043.stations.xmltv.tvmedia.ca,BNN Bloomberg HD
10044.stations.xmltv.tvmedia.ca,CTV Wild Canada HD
1019.stations.xmltv.tvmedia.ca,CTV Comedy - West
10299.stations.xmltv.tvmedia.ca,Explora HD
10331.stations.xmltv.tvmedia.ca,Cartoon Network Canada - East HD
10686.stations.xmltv.tvmedia.ca,"PBS (KCTS) Seattle, WA HD"
10691.stations.xmltv.tvmedia.ca,Boomerang Canada HD
107.stations.xmltv.tvmedia.ca,"CBC (CBMT) Montreal, QC"
10769.stations.xmltv.tvmedia.ca,CTV Nature Canada HD
10770.stations.xmltv.tvmedia.ca,CTV News Channel HD
10771.stations.xmltv.tvmedia.ca,CTV Comedy - East HD
10772.stations.xmltv.tvmedia.ca,CTV Comedy - West HD
10781.stations.xmltv.tvmedia.ca,Crave4 HD
10783.stations.xmltv.tvmedia.ca,STARZ2 - East HD
10809.stations.xmltv.tvmedia.ca,CP24 (CablePulse 24) HD
10881.stations.xmltv.tvmedia.ca,American Heroes Channel HD
10893.stations.xmltv.tvmedia.ca,Super Channel Vault HD
10894.stations.xmltv.tvmedia.ca,Super Channel Quest HD
110.stations.xmltv.tvmedia.ca,"CBC (CBWT) Winnipeg, MB"
11012.stations.xmltv.tvmedia.ca,National Geographic Wild Canada HD
11044.stations.xmltv.tvmedia.ca,Lifetime TV - Canada HD
11143.stations.xmltv.tvmedia.ca,DTOUR
1120.stations.xmltv.tvmedia.ca,Oxygen True Crime Canada
11285.stations.xmltv.tvmedia.ca,Treehouse HD
11293.stations.xmltv.tvmedia.ca,CTV Life HD
11320.stations.xmltv.tvmedia.ca,Hollywood Suite On Demand
11325.stations.xmltv.tvmedia.ca,CMT Canada HD
11345.stations.xmltv.tvmedia.ca,Investigation HD
114.stations.xmltv.tvmedia.ca,"CBC (CBAT) Fredericton, NB"
11405.stations.xmltv.tvmedia.ca,Smithsonian Channel Canada HD
1148.stations.xmltv.tvmedia.ca,Lifetime TV - Canada
115.stations.xmltv.tvmedia.ca,Global (CIHF) Dartmouth
116.stations.xmltv.tvmedia.ca,CTV2 Atlantic Region
1171.stations.xmltv.tvmedia.ca,"CITY Montreal, QC"
1174.stations.xmltv.tvmedia.ca,OMNI Vancouver
118.stations.xmltv.tvmedia.ca,"ICI (CBAFT) Moncton, NB"
1188.stations.xmltv.tvmedia.ca,CTV Nature Canada
120.stations.xmltv.tvmedia.ca,CMT Canada
1204.stations.xmltv.tvmedia.ca,TLC Canada
12662.stations.xmltv.tvmedia.ca,TSC HD
13400.stations.xmltv.tvmedia.ca,FXX Canada
13401.stations.xmltv.tvmedia.ca,FXX Canada HD
13572.stations.xmltv.tvmedia.ca,OMNI.1 (CFMT-DT-1) London
13585.stations.xmltv.tvmedia.ca,Global (CIII-DT-41) Toronto
13625.stations.xmltv.tvmedia.ca,Univision Canada
13784.stations.xmltv.tvmedia.ca,Crime + Investigation Canada HD
13841.stations.xmltv.tvmedia.ca,"CTV2 (CIVI-DT2) Vancouver, BC"
13887.stations.xmltv.tvmedia.ca,"TVO (CICA-DT) Toronto, ON"
14.stations.xmltv.tvmedia.ca,ICI (CBLFT) Toronto
14229.stations.xmltv.tvmedia.ca,"CTV2 Barrie, ON (CKVR)"
143.stations.xmltv.tvmedia.ca,"CTV (CKY) Winnipeg, MB"
146.stations.xmltv.tvmedia.ca,"CBC (CBXT) Edmonton, AB"
147.stations.xmltv.tvmedia.ca,"CBC (CBRT) Calgary, AB"
153.stations.xmltv.tvmedia.ca,CTV Sci-Fi
159.stations.xmltv.tvmedia.ca,CTV Comedy - East
1632.stations.xmltv.tvmedia.ca,"CTV (CKNY) North Bay, ON"
1633.stations.xmltv.tvmedia.ca,"CTV (CITO) Timmins, ON"
1634.stations.xmltv.tvmedia.ca,"CTV (CHBX) Sault Ste. Marie, ON"
1635.stations.xmltv.tvmedia.ca,"CTV (CICI) Sudbury, ON"
164.stations.xmltv.tvmedia.ca,History Canada East
16683.stations.xmltv.tvmedia.ca,Disney Channel Canada HD - East
167.stations.xmltv.tvmedia.ca,Home Network
169.stations.xmltv.tvmedia.ca,Flavour Network
1716.stations.xmltv.tvmedia.ca,"Peachtree TV (WPCH-TV) Atlanta, GA"
180.stations.xmltv.tvmedia.ca,"CBC (CBUT) Vancouver, BC"
181.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA"
182.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA"
183.stations.xmltv.tvmedia.ca,"CHEK Vancouver Island, BC"
184.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA"
185.stations.xmltv.tvmedia.ca,"CTV Vancouver, BC"
187.stations.xmltv.tvmedia.ca,"CITY Vancouver, BC"
188.stations.xmltv.tvmedia.ca,"ICI (CBUFT) Vancouver, BC"
1882.stations.xmltv.tvmedia.ca,"Global (CHEX-TV-2) Durham, ON"
189.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA - Canada"
190.stations.xmltv.tvmedia.ca,"PBS (KCTS) Seattle, WA"
196.stations.xmltv.tvmedia.ca,"ICI (CBFT) Montreal, QC"
199.stations.xmltv.tvmedia.ca,"CJON (NTV) St-John, NL"
20016.stations.xmltv.tvmedia.ca,Hollywood Suite 2010s+ HD
20017.stations.xmltv.tvmedia.ca,Hollywood Suite 70s+ HD
20018.stations.xmltv.tvmedia.ca,Hollywood Suite 80s & 90s HD
20019.stations.xmltv.tvmedia.ca,Hollywood Suite 2000s HD
24.stations.xmltv.tvmedia.ca,"Global (CKWS) Kingston, ON"
258.stations.xmltv.tvmedia.ca,"CTV (CFCN) Calgary, AB"
2729.stations.xmltv.tvmedia.ca,OUTtv
2811.stations.xmltv.tvmedia.ca,"ABC (WXYZ) Detroit, MI - Canada HD"
2812.stations.xmltv.tvmedia.ca,"CBS (WWJ) Detroit, MI HD"
2814.stations.xmltv.tvmedia.ca,"CTV (CFTO) Toronto, ON HD"
2815.stations.xmltv.tvmedia.ca,"FOX (WJBK) Detroit, MI HD"
2816.stations.xmltv.tvmedia.ca,"NBC (WDIV) Detroit, MI HD"
2820.stations.xmltv.tvmedia.ca,Crave1 - East HD
2825.stations.xmltv.tvmedia.ca,"CITY Toronto, ON HD"
2826.stations.xmltv.tvmedia.ca,"CBC (CBLT) Toronto, ON HD"
2829.stations.xmltv.tvmedia.ca,"ABC (KOMO) Seattle, WA HD"
2830.stations.xmltv.tvmedia.ca,"CBS (KIRO) Seattle, WA HD"
2831.stations.xmltv.tvmedia.ca,"NBC (KING) Seattle, WA HD"
2832.stations.xmltv.tvmedia.ca,"FOX (KCPQ) Tacoma, WA HD - Canada"
292.stations.xmltv.tvmedia.ca,HBO Canada 2 - West
295.stations.xmltv.tvmedia.ca,E! Canada
296.stations.xmltv.tvmedia.ca,Oprah Winfrey Network Canada
309.stations.xmltv.tvmedia.ca,CTV Life
31.stations.xmltv.tvmedia.ca,Global BC
318.stations.xmltv.tvmedia.ca,Global (CKMI) Quebec
31846.stations.xmltv.tvmedia.ca,"CTV (CICI) Sudbury, ON HD"
320.stations.xmltv.tvmedia.ca,Crave4
321.stations.xmltv.tvmedia.ca,CP24 (CablePulse 24)
3316.stations.xmltv.tvmedia.ca,CTV (CJCH) Halifax
3317.stations.xmltv.tvmedia.ca,CTV (CKCW) Moncton
3318.stations.xmltv.tvmedia.ca,"CTV (CJCB) Sydney/ Cape Breton, NS"
34.stations.xmltv.tvmedia.ca,"CBC (CBLT) Toronto, ON"
3401.stations.xmltv.tvmedia.ca,"CTV2 Windsor, ON"
3479.stations.xmltv.tvmedia.ca,HBO On Demand
3561.stations.xmltv.tvmedia.ca,CNBC Canada
359.stations.xmltv.tvmedia.ca,TSC
3613.stations.xmltv.tvmedia.ca,STARZ1 - East HD
3624.stations.xmltv.tvmedia.ca,OMNI.2 HD
3633.stations.xmltv.tvmedia.ca,Treehouse On Demand
3662.stations.xmltv.tvmedia.ca,WSBK (TV-38) Boston HD
37.stations.xmltv.tvmedia.ca,"Global (CHEX) Peterborough, ON"
37711.stations.xmltv.tvmedia.ca,Natyf TV HD
38.stations.xmltv.tvmedia.ca,"CTV Ottawa (CJOH), ON"
3822.stations.xmltv.tvmedia.ca,AMC - Canada
3886.stations.xmltv.tvmedia.ca,A&E Canada HD
3887.stations.xmltv.tvmedia.ca,CTV Speed HD
39.stations.xmltv.tvmedia.ca,"CTV (CFTO) Toronto, ON"
3905.stations.xmltv.tvmedia.ca,"CTV Vancouver, BC HD"
3906.stations.xmltv.tvmedia.ca,BBC First HD
3908.stations.xmltv.tvmedia.ca,BBC Earth HD
3936.stations.xmltv.tvmedia.ca,"CITY Vancouver, BC HD"
