channel_id,display_name,DirecTV[US],Spectrum_NY[US],Bell_Fibe[CA]
10011.stations.xmltv.tvmedia.ca,"NYC Life (WNYE-DT1) New York, NY",,Y,
10026.stations.xmltv.tvmedia.ca,FX Networks Canada,,,Y
10027.stations.xmltv.tvmedia.ca,FX Networks Canada HD,,,Y
10042.stations.xmltv.tvmedia.ca,CTV Sci-Fi HD,,,Y
10043.stations.xmltv.tvmedia.ca,BNN Bloomberg HD,,,Y
10044.stations.xmltv.tvmedia.ca,CTV Wild Canada HD,,,Y
1011.stations.xmltv.tvmedia.ca,Freeform - East Feed,,Y,
1019.stations.xmltv.tvmedia.ca,CTV Comedy - West,,,Y
10264.stations.xmltv.tvmedia.ca,"CW (KFMB-TV2) San Diego, CA",Y,,
10294.stations.xmltv.tvmedia.ca,BBC News - North America HD,Y,,Y
10299.stations.xmltv.tvmedia.ca,Explora HD,,,Y
1030.stations.xmltv.tvmedia.ca,Paramount Network USA - Eastern Feed,,Y,
10331.stations.xmltv.tvmedia.ca,Cartoon Network Canada - East HD,,,Y
10497.stations.xmltv.tvmedia.ca,"Localish (WABC-DT2) New York, NY",,Y,
1053.stations.xmltv.tvmedia.ca,Disney XD USA - Eastern Feed,,Y,
1054.stations.xmltv.tvmedia.ca,Food Network USA - Eastern Feed,,Y,
10643.stations.xmltv.tvmedia.ca,"WLNY TV10/55, Riverhead, NY HD",,Y,
1066.stations.xmltv.tvmedia.ca,MOVIEplex - Eastern,,Y,
10686.stations.xmltv.tvmedia.ca,"PBS (KCTS) Seattle, WA HD",,,Y
10691.stations.xmltv.tvmedia.ca,Boomerang Canada HD,,,Y
107.stations.xmltv.tvmedia.ca,"CBC (CBMT) Montreal, QC",,,Y
10745.stations.xmltv.tvmedia.ca,"Antenna (WPIX2) New York, NY",,Y,
10749.stations.xmltv.tvmedia.ca,"TeleXitos (WNJU2) Teterboro, NJ",,Y,
10750.stations.xmltv.tvmedia.ca,"Buzzr TV (WWOR-TV3) New York, NY",,Y,
1076.stations.xmltv.tvmedia.ca,CMT US - Eastern Feed,Y,Y,
10769.stations.xmltv.tvmedia.ca,CTV Nature Canada HD,,,Y
10770.stations.xmltv.tvmedia.ca,CTV News Channel HD,,,Y
10771.stations.xmltv.tvmedia.ca,CTV Comedy - East HD,,,Y
