lineup_id	country	in_scope	channel_type	type_lookup	channel_id	dn_1	dn_2	standard_cable_network_station	dn_3	call_sign	channel_number	network_base	network_lookup	city	city_lookup	region	region_lookup	brand_scope	scope_lookup	resolution	resolution_lookup	feed_lookup	manual_override_needed	Manual_Display_namne	final_display_name
10272	US	N	local	specialty	37719.stations.xmltv.tvmedia.ca	"365BLK (KSKJ-CD6) Los Angeles, CA"	KSKJ-CD6	Yes	45-6	45-6		365BLK	0	Los Angeles	Los Angeles	CA	CA		country_unique						#REF!
10273	US	Y	specialty	specialty	7093.stations.xmltv.tvmedia.ca	5 Star Max HD - Eastern	MAX5HD	No	930	MAX5HD	930	5 Star Max HD - Eastern	5						country_unique		HD				#REF!
10273	US	N	specialty	specialty	5138.stations.xmltv.tvmedia.ca	MeTV (WJLP) New Jersey/New York	WJLP	Yes	3	WJLP	3	MeTV	MeTV						country_unique						#REF!
10270	CA	Y	specialty	specialty	4311.stations.xmltv.tvmedia.ca	A&E Canada	A&E	No	270		270	A&E Canada	A&E						country_unique						#REF!
10269	CA	Y	specialty	specialty	3886.stations.xmltv.tvmedia.ca	A&E Canada HD	A&E-HD	No	300		300	A&E Canada HD	A&E						country_unique		HD				#REF!
10270	CA	Y	specialty	specialty	3886.stations.xmltv.tvmedia.ca	A&E Canada HD	A&E-HD	No	533		533	A&E Canada HD	A&E						country_unique		HD				#REF!
10271	US	N	local	local	1838.stations.xmltv.tvmedia.ca	"UNI (WGBO) Chicago, IL"	WGBO-DT	Yes	6	WGBO-DT	6	UNI	UNI	Chicago	Chicago	IL	IL		multi_country						"UNI Chicago, IL (US)"
10273	US	N	local	local	4689.stations.xmltv.tvmedia.ca	"Shop LC (WRNN) Kingston, NY"	WRNN-TV	Yes	6	WRNN-TV	6	Shop	Shop LC	LC (WRNN) Kingston	Kingston	NY	NY		country_unique						"Shop LC Kingston, NY (US)"
10273	US	Y	specialty	specialty	2.stations.xmltv.tvmedia.ca	A&E US - Eastern Feed	A&E	No	1641		1641	A&E US - Eastern Feed	A&E						country_unique						#REF!
10271	US	Y	specialty	specialty	2.stations.xmltv.tvmedia.ca	A&E US - Eastern Feed	A&E	No	26900	26900		A&E US - Eastern Feed	A&E						country_unique						#REF!
10273	US	Y	specialty	specialty	17034.stations.xmltv.tvmedia.ca	A&E US HD - Eastern Feed	A&EHD	No	681		681	A&E US HD - Eastern Feed	A&E						country_unique		HD				#REF!
10271	US	Y	specialty	specialty	17034.stations.xmltv.tvmedia.ca	A&E US HD - Eastern Feed	A&EHD	No	1402		1402	A&E US HD - Eastern Feed	A&E						country_unique		HD				#REF!
10272	US	Y	local	local	2589.stations.xmltv.tvmedia.ca	"ABC (KABC) Los Angeles, CA"	KABC-TV	Yes	46029	KABC-TV		ABC	ABC	Los Angeles	Los Angeles	CA	CA		multi_country						"ABC Los Angeles, CA (US)"
10270	CA	Y	local	local	181.stations.xmltv.tvmedia.ca	"ABC (KOMO) Seattle, WA"	KOMO-TV	Yes	155	KOMO-TV	155	ABC	ABC	Seattle	Seattle	WA	WA		multi_country						"ABC Seattle, WA (CA)"
10269	CA	Y	specialty	local	2829.stations.xmltv.tvmedia.ca	"ABC (KOMO) Seattle, WA HD"	KOMO-HD	Yes	131	KOMO-HD	131	ABC	ABC		Seattle		WA		multi_country		HD				"ABC Seattle, WA (CA) (HD)"
10270	CA	Y	specialty	local	2829.stations.xmltv.tvmedia.ca	"ABC (KOMO) Seattle, WA HD"	KOMO-HD	Yes	527	KOMO-HD	527	ABC	ABC		Seattle		WA		multi_country		HD				"ABC Seattle, WA (CA) (HD)"
10273	US	N	local	local	1772.stations.xmltv.tvmedia.ca	"Telemundo (WNJU) Teterboro, NJ"	WNJU	Yes	12	WNJU	12	Telemundo	Telemundo	Teterboro	Teterboro	NJ	NJ		country_unique						"Telemundo Teterboro, NJ (US)"
10273	US	Y	local	local	1769.stations.xmltv.tvmedia.ca	"ABC (WABC) New York, NY"	WABC-TV	Yes	7	WABC-TV	7	ABC	ABC	New York	New York	NY	NY		multi_country						"ABC New York, NY (US)"
