channel_id,display_name,Telus_Optik_Vancouver_BC_CA,Rogers_Toronto_ON_CA,Xfinity_Chicago_IL_US,Broadcast_LosAngeles_CA_US,Verizon_FIOS_NewYork_NY_US
10026.stations.xmltv.tvmedia.ca,FX Networks Canada,,Y,,,
10027.stations.xmltv.tvmedia.ca,FX Networks Canada HD,Y,Y,,,
10042.stations.xmltv.tvmedia.ca,CTV Sci-Fi HD,Y,Y,,,
10043.stations.xmltv.tvmedia.ca,BNN Bloomberg HD,Y,,,,
10044.stations.xmltv.tvmedia.ca,CTV Wild Canada HD,Y,,,,
1011.stations.xmltv.tvmedia.ca,Freeform - East Feed,,,,,Y
1015.stations.xmltv.tvmedia.ca,New England Sports Network,,,,,Y
10165.stations.xmltv.tvmedia.ca,POP - East,,,,,Y
1018.stations.xmltv.tvmedia.ca,Family Channel Canada - West,Y,,,,
1019.stations.xmltv.tvmedia.ca,CTV Comedy - West,Y,Y,,,
10208.stations.xmltv.tvmedia.ca,DW Amerika (German),,,,,Y
1021.stations.xmltv.tvmedia.ca,YTV (Youth Television) - Pacific,Y,,,,
1023.stations.xmltv.tvmedia.ca,W (WTN) - Pacific,Y,Y,,,
10236.stations.xmltv.tvmedia.ca,Teleritmo,,,,,Y
10263.stations.xmltv.tvmedia.ca,Fox Sports 2 HD,,,,,Y
10276.stations.xmltv.tvmedia.ca,MTV 2 East HD,,,Y,,Y
10287.stations.xmltv.tvmedia.ca,Crave3 - West HD,Y,,,,
10294.stations.xmltv.tvmedia.ca,BBC News - North America HD,,,Y,,Y
10295.stations.xmltv.tvmedia.ca,ATN - Aapka Colors,,,,,Y
1030.stations.xmltv.tvmedia.ca,Paramount Network USA - Eastern Feed,,,,,Y
10310.stations.xmltv.tvmedia.ca,Hollywood Suite 70s+,,Y,,,
10321.stations.xmltv.tvmedia.ca,MLB Network Strike Zone HD,,,,,Y
10332.stations.xmltv.tvmedia.ca,Cartoon Network Canada - West HD,Y,,,,
10347.stations.xmltv.tvmedia.ca,ESPN Deportes HD,,,,,Y
10349.stations.xmltv.tvmedia.ca,"ARTN (KSCI7) Los Angeles, CA",,,,Y,
10352.stations.xmltv.tvmedia.ca,US Armenia (KSCI-DT5) Los Angeles,,,,Y,
10370.stations.xmltv.tvmedia.ca,POP HD - East,,,,,Y
10497.stations.xmltv.tvmedia.ca,"Localish (WABC-DT2) New York, NY",,,,,Y
1050.stations.xmltv.tvmedia.ca,C-SPAN 2,,,,,Y
10502.stations.xmltv.tvmedia.ca,Fox Deportes HD,,,,,Y
10507.stations.xmltv.tvmedia.ca,TV Japan HD,,,,,Y
1052.stations.xmltv.tvmedia.ca,Hallmark - Eastern Feed,,,,,Y
1053.stations.xmltv.tvmedia.ca,Disney XD USA - Eastern Feed,,,Y,,Y
1054.stations.xmltv.tvmedia.ca,Food Network USA - Eastern Feed,,,Y,,Y
10611.stations.xmltv.tvmedia.ca,Cartoon Network - Adult Swim,,,Y,,
10613.stations.xmltv.tvmedia.ca,Boomerang Canada,,Y,,,
