"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","reason"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","7","","en","Sydney#7","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","7bravo","","en","Sydney#7bravo","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","7flix","","en","Sydney#7flix","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","7HD","","en","Sydney#7HD","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","7MATE","","en","Sydney#7MATE","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","7TWO","","en","Sydney#7TWO","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","9","","en","Sydney#9","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","9HD","","en","Sydney#9HD","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","9Life","","en","Sydney#9Life","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","9Rush","","en","Sydney#9Rush","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","10","","en","Sydney#10","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","11","","en","Sydney#11","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ABC1","","en","Sydney#ABC1","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ABC2","","en","Sydney#ABC2","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ABC3","","en","Sydney#ABC3","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ABC4KIDS","","en","Sydney#ABC4KIDS","AU","HD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ABCHD","","en","Sydney#ABCHD","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ABCN","","en","Sydney#ABCN","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","GEM","","en","Sydney#GEM","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","GO","","en","Sydney#GO","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","NITV","","en","Sydney#NITV","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","ONE","","en","Sydney#ONE","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","RTV","","en","Sydney#RTV","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SBS","","en","Sydney#SBS","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SBS2","","en","Sydney#SBS2","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SBS3","","en","Sydney#SBS3","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SBSHD","","en","Sydney#SBSHD","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SBSWW","","en","Sydney#SBSWW","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SHAKE","","en","Sydney#SHAKE","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","SPREE","","en","Sydney#SPREE","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","TENHD","","en","Sydney#TENHD","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","TVSN","","en","Sydney#TVSN","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","VICHD","","en","Sydney#VICHD","AU","SD","kept"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","YOUTV","","en","Sydney#YOUTV","AU","SD","kept"
"directv.com","directv.com\directv.com.channels.xml","WINS","","en","1#238","US","SD","kept"
"directv.com","directv.com\directv.com.channels.xml","Parkersburg, WV WCHS ABC 8 A3 HD","WCHSDT1.us@SD","en","8#815","US","HD","kept"
"directv.com","directv.com\directv.com.channels.xml","Parkersburg, WV WCHS ABC 8 SD","WCHSDT1.us@SD","en","8#816","US","SD","kept"
"directv.com","directv.com\directv.com.channels.xml","Parkersburg, WV WTAP NBC 15 A3 HD","WTAPDT1.us@SD","en","15#2073","US","HD","kept"
"directv.com","directv.com\directv.com.channels.xml","Parkersburg, WV WTAPDT2 MNT 17 A3 SD","WTAPDT2.us@SD","en","17#2076","US","SD","kept"
