"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","reason"
"directv.com","directv.com\directv.com.channels.xml","News Mix 71","","en","71#6505","US","SD","news_channel_not_allowed"
"directv.com","directv.com\directv.com.channels.xml","Seasonal Sports Offer Channel","","en","113#106","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","Kids Mix Channel","","en","199#8111","US","SD","kids_channel"
"directv.com","directv.com\directv.com.channels.xml","News Mix","","en","200#436","US","SD","news_channel_not_allowed"
"directv.com","directv.com\directv.com.channels.xml","SPORTS MIX HD (205)","","en","205#5205","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","ESPN","ESPN.us@SD","en","206#206","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","ESPN HD","ESPN.us@SD","en","206#1964","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NFL Network","NFLNetwork.us@SD","en","212#212","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NFL Network Alternate","","en","212#441","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NFL Network Alternate HD","","en","212#442","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NFL Network HD","NFLNetwork.us@SD","en","212#8225","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","MLB Network Alt. 213-1","MLBNetworkAlternate.us@SD","en","213#214","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","MLB Network","MLBNetwork.us@SD","en","213#3227","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","MLB Network HD","","en","213#3228","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","MLB Network Alt. 213-1 HD","","en","213#5214","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NHL Network","NHLNetwork.us@SD","en","215#2468","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NHL Network Alternate","NHLNetworkAlternate.us@SD","en","215#5508","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NHL Network Alternate HD","NHLNetworkAlternate.us@SD","en","215#5509","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NHL Network HD","NHLNetwork.us@SD","en","215#8230","US","HD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NBA TV","NBATV.us@SD","en","216#601","US","SD","sports_channel"
"directv.com","directv.com\directv.com.channels.xml","NBA TV HD","NBATV.us@SD","en","216#8220","US","HD","sports_channel"
