tag,site,name,xmltv_id,lang,site_id,source_file
tv24.co.uk,tv24.co.uk,5,Channel5.uk@SD,en,channel-5,tv24.co.uk.channels.xml
abc.net.au,abc.net.au,7,,en,Sydney#7,abc.net.au_syd.channels.xml
abc.net.au,abc.net.au,9,,en,Sydney#9,abc.net.au_syd.channels.xml
abc.net.au,abc.net.au,10,,en,Sydney#10,abc.net.au_syd.channels.xml
abc.net.au,abc.net.au,11,,en,Sydney#11,abc.net.au_syd.channels.xml
epgshare01.online,epgshare01.online,10 Bold Sydney,,en,AU1#10BoldSydney.au,epgshare01.online_AU1.channels.xml
epgshare01.online,epgshare01.online,10 Peach Sydney,,en,AU1#10PeachSydney.au,epgshare01.online_AU1.channels.xml
epgshare01.online,epgshare01.online,10 Sydney,,en,AU1#10Sydney.au,epgshare01.online_AU1.channels.xml
epgshare01.online,epgshare01.online,7 Sydney,,en,AU1#7Sydney.au,epgshare01.online_AU1.channels.xml
abc.net.au,abc.net.au,7bravo,,en,Sydney#7bravo,abc.net.au_syd.channels.xml
epgshare01.online,epgshare01.online,7Bravo Sydney,,en,AU1#7BravoSydney.au,epgshare01.online_AU1.channels.xml
abc.net.au,abc.net.au,7flix,,en,Sydney#7flix,abc.net.au_syd.channels.xml
epgshare01.online,epgshare01.online,7flix Sydney,,en,AU1#7flixSydney.au,epgshare01.online_AU1.channels.xml
abc.net.au,abc.net.au,7HD,,en,Sydney#7HD,abc.net.au_syd.channels.xml
abc.net.au,abc.net.au,7MATE,,en,Sydney#7MATE,abc.net.au_syd.channels.xml
epgshare01.online,epgshare01.online,7mate Sydney,,en,AU1#7mateSydney.au,epgshare01.online_AU1.channels.xml
abc.net.au,abc.net.au,7TWO,,en,Sydney#7TWO,abc.net.au_syd.channels.xml
epgshare01.online,epgshare01.online,7TWO Sydney,,en,AU1#7TWOSydney.au,epgshare01.online_AU1.channels.xml
epgshare01.online,epgshare01.online,9 Sydney,,en,AU1#9Sydney.au,epgshare01.online_AU1.channels.xml
epgshare01.online,epgshare01.online,9Gem Sydney,,en,AU1#9GemSydney.au,epgshare01.online_AU1.channels.xml
epgshare01.online,epgshare01.online,9Go! Sydney,,en,AU1#9GoSydney.au,epgshare01.online_AU1.channels.xml
