"key","kept_name","kept_site","kept_xmltv_id","dropped_name","dropped_site","dropped_xmltv_id"
"10","10 Sydney","epgshare01.online",,"10 Sydney","epgshare01.online",
"7","7 Sydney","epgshare01.online",,"7 Sydney","epgshare01.online",
"7bravo","7Bravo Sydney","epgshare01.online",,"7Bravo Sydney","epgshare01.online",
"7flix","7flix Sydney","epgshare01.online",,"7flix Sydney","epgshare01.online",
"7mate","7mate Sydney","epgshare01.online",,"7mate Sydney","epgshare01.online",
"7two","7TWO Sydney","epgshare01.online",,"7TWO Sydney","epgshare01.online",
"9","9 Sydney","epgshare01.online",,"9 Sydney","epgshare01.online",
"9life","9Life Sydney","epgshare01.online",,"9Life Sydney","epgshare01.online",
"9rush","9Rush Sydney","epgshare01.online",,"9Rush Sydney","epgshare01.online",
"animal planet","Animal Planet","epgshare01.online",,"Animal Planet","epgshare01.online",
"bravo","Bravo","epgshare01.online",,"Bravo","epgshare01.online",
"channel 4","Channel 4","epgshare01.online",,"Channel 4+1","epgshare01.online",
"ctv comedy","CTV Comedy - East","epgshare01.online",,"CTV Comedy - West","epgshare01.online",
"cw","CW Plus Central","epgshare01.online",,"CW Plus East","epgshare01.online",
"nat geo wild","Nat Geo Wild","epgshare01.online",,"Nat Geo Wild","epgshare01.online",
"nitv","NITV Sydney","epgshare01.online",,"NITV Sydney","epgshare01.online",
"sbs","SBS Sydney","epgshare01.online",,"SBS Sydney","epgshare01.online",
"syfy","SYFY+1","epgshare01.online",,"SYFY+1","epgshare01.online",
"tbs","TBS - East","epgshare01.online",,"TBS - East","epgshare01.online",
"a e","A&E","directv.com","AE.us@East","A&E","streamingtvguides.com",
"cinemax","Cinemax","directv.com","Cinemax.us@East","CINEMAX","streamingtvguides.com",
"fx","FX","directv.com","FX.us@East","FX","streamingtvguides.com",
"fxx","FXX","directv.com","FXX.us@East","FXX","streamingtvguides.com",
"hbo","HBO East","streamingtvguides.com",,"HBO West","streamingtvguides.com",
"hbo zone","HBO Zone HD - East","epgshare01.online",,"HBO Zone","streamingtvguides.com",
"paramount network","Paramount Network","directv.com","ParamountNetwork.us@East","Paramount Network","streamingtvguides.com",
"syfy","SYFY+1","epgshare01.online",,"SYFY","streamingtvguides.com",
"food network","Food Network","tv24.co.uk","FoodNetwork.uk@SD","Food Network","tv24.co.uk","FoodNetwork.uk@SD"
"itv1","ITV1+1","epgshare01.online",,"ITV1 (London)","tv24.co.uk",
"itv1","ITV1+1","epgshare01.online",,"ITV1 Central","tv24.co.uk",
"sky crime","Sky Crime+1","epgshare01.online",,"Sky Crime","tv24.co.uk",
"adult swim","Adult Swim - East","epgshare01.online",,"Adult Swim","tvinsider.com",
"amc","AMC","directv.com","AMC.us@East","AMC","tvinsider.com",
"hbo","HBO East","streamingtvguides.com",,"HBO","tvinsider.com",
"animal planet +1","Animal Planet +1","virgintvgo.virginmedia.com","AnimalPlanet.uk@Plus1","Animal Planet +1","virgintvgo.virginmedia.com","AnimalPlanet.uk@Plus1"
