key,kept_name,dropped_name,kept_source,dropped_source,kept_xmltv_id,dropped_xmltv_id
10,10,10,custom.channels.xml,Draft-Keep.csv,,
AE.us@East,A&E,A&E,custom.channels.xml,Draft-Keep.csv,AE.us@East,AE.us@East
AE.us@East,A&E,A&E,custom.channels.xml,Draft-Keep.csv,AE.us@East,AE.us@East
a e,A&E,A&E,Draft-Keep.csv,Draft-Keep.csv,,
abc kabc los angeles ca,"ABC (KABC) Los Angeles, CA","ABC (KABC) Los Angeles, CA",Draft-Keep.csv,Draft-Keep.csv,,
AMC.us@East,AMC,AMC,custom.channels.xml,Draft-Keep.csv,AMC.us@East,AMC.us@East
amc,AMC,AMC HD,Draft-Keep.csv,Draft-Keep.csv,,
AMC.us@East,AMC,AMC,custom.channels.xml,Draft-Keep.csv,AMC.us@East,AMC.us@East
amc pacific,AMC (Pacific),AMC HD (Pacific),Draft-Keep.csv,Draft-Keep.csv,,
amc,AMC,AMC +,Draft-Keep.csv,Draft-Keep.csv,,
amc,AMC,AMC+,Draft-Keep.csv,Draft-Keep.csv,,
amc canada,AMC - Canada,AMC - Canada HD,Draft-Keep.csv,Draft-Keep.csv,,
amc,AMC,AMC,Draft-Keep.csv,Draft-Keep.csv,,
amc,AMC,AMC,Draft-Keep.csv,Draft-Keep.csv,,
amc,AMC,AMC+,Draft-Keep.csv,Draft-Keep.csv,,
animal planet,Animal Planet,Animal Planet,Draft-Keep.csv,Draft-Keep.csv,,
animal planet,Animal Planet,Animal Planet,Draft-Keep.csv,Draft-Keep.csv,,
animal planet,Animal Planet,Animal Planet,Draft-Keep.csv,Draft-Keep.csv,,
AnimalPlanet.us@East,Animal Planet,Animal Planet,Draft-Keep.csv,Draft-Keep.csv,AnimalPlanet.us@East,AnimalPlanet.us@East
animal planet,Animal Planet,Animal Planet,Draft-Keep.csv,Draft-Keep.csv,,
animal planet 1,Animal Planet +1,Animal Planet +1,Draft-Keep.csv,Draft-Keep.csv,,
bbc earth,BBC Earth,BBC Earth HD,Draft-Keep.csv,Draft-Keep.csv,,
bravo,Bravo,Bravo,Draft-Keep.csv,Draft-Keep.csv,,
britbox mysteries,BritBox Mysteries,BritBox Mysteries,Draft-Keep.csv,Draft-Keep.csv,,
british drama,British Drama,British Drama,Draft-Keep.csv,Draft-Keep.csv,,
cbs kcbs los angeles ca,"CBS (KCBS) Los Angeles, CA","CBS (KCBS) Los Angeles, CA",Draft-Keep.csv,Draft-Keep.csv,,
Cinemax.us@East,Cinemax,Cinemax,custom.channels.xml,Draft-Keep.csv,Cinemax.us@East,Cinemax.us@East
cinemax,CINEMAX,Cinemax,Draft-Keep.csv,Draft-Keep.csv,,
Cinemax.us@East,Cinemax,Cinemax,custom.channels.xml,Draft-Keep.csv,Cinemax.us@East,Cinemax.us@East
cinemax,CINEMAX,Cinemax,Draft-Keep.csv,Draft-Keep.csv,,
cnn,CNN,CNN,Draft-Keep.csv,Draft-Keep.csv,,
cw ny,CW NY,CW NY,Draft-Keep.csv,Draft-Keep.csv,,
food,FOOD,FOOD,Draft-Keep.csv,Draft-Keep.csv,,
food,FOOD,FOOD,Draft-Keep.csv,Draft-Keep.csv,,
food network,Food Network,Food Network,Draft-Keep.csv,Draft-Keep.csv,,
food network,Food Network,Food Network,Draft-Keep.csv,Draft-Keep.csv,,
food network,Food Network,Food Network,Draft-Keep.csv,Draft-Keep.csv,,
food network,Food Network,Food Network,Draft-Keep.csv,Draft-Keep.csv,,
fox kttv los angeles ca,"FOX (KTTV) Los Angeles, CA","FOX (KTTV) Los Angeles, CA",Draft-Keep.csv,Draft-Keep.csv,,
fx,FX,FX,Draft-Keep.csv,Draft-Keep.csv,,
fx,FX,FX,Draft-Keep.csv,Draft-Keep.csv,,
fx,FX,FX,Draft-Keep.csv,Draft-Keep.csv,,
fx movie channel,FX Movie Channel,FX Movie Channel,Draft-Keep.csv,Draft-Keep.csv,,
fxx,FXX,FXX,Draft-Keep.csv,Draft-Keep.csv,,
hbo signature,HBO Signature,HBO Signature,Draft-Keep.csv,Draft-Keep.csv,,
hbo signature,HBO Signature,HBO SIGNATURE,Draft-Keep.csv,Draft-Keep.csv,,
hbo signature,HBO Signature,HBO Signature,Draft-Keep.csv,Draft-Keep.csv,,
itv1 london,ITV1 (London),ITV1 (London),Draft-Keep.csv,Draft-Keep.csv,,
itv1 london,ITV1 (London),ITV1 London,Draft-Keep.csv,Draft-Keep.csv,,
itv2 1,ITV2 +1,ITV2+1,Draft-Keep.csv,Draft-Keep.csv,,
itv3 1,ITV3 +1,ITV3+1,Draft-Keep.csv,Draft-Keep.csv,,
itv4 1,ITV4 +1,ITV4 +1 (Freeview),Draft-Keep.csv,Draft-Keep.csv,,
itv4 1,ITV4 +1,ITV4+1,Draft-Keep.csv,Draft-Keep.csv,,
mgm,MGM HD,MGM+,Draft-Keep.csv,Draft-Keep.csv,,
movies 24,Movies 24,Movies 24+,Draft-Keep.csv,Draft-Keep.csv,,
movies24,Movies24,Movies24+,Draft-Keep.csv,Draft-Keep.csv,,
nbc knbc los angeles ca,"NBC (KNBC) Los Angeles, CA","NBC (KNBC) Los Angeles, CA",Draft-Keep.csv,Draft-Keep.csv,,
paramount network,Paramount Network,Paramount Network,Draft-Keep.csv,Draft-Keep.csv,,
paramount network,Paramount Network,Paramount Network,Draft-Keep.csv,Draft-Keep.csv,,
showtime,SHOWTIME,Showtime,Draft-Keep.csv,Draft-Keep.csv,,
one,ONE,Sky One,Draft-Keep.csv,Draft-Keep.csv,,
sci fi,Sky Sci-Fi,Sky Sci-Fi HD,Draft-Keep.csv,Draft-Keep.csv,,
showcase,Showcase,Sky Showcase,Draft-Keep.csv,Draft-Keep.csv,,
syfy,SYFY,SYFY,Draft-Keep.csv,Draft-Keep.csv,,
syfy,SYFY,Syfy,Draft-Keep.csv,Draft-Keep.csv,,
syfy,SYFY,Syfy,Draft-Keep.csv,Draft-Keep.csv,,
vice,VICE,VICE,Draft-Keep.csv,Draft-Keep.csv,,
