id, name, description
6, comedy, Comedy, Programming is mostly comedy
7, cooking, Cooking, Programs related to cooking or food in general
8, culture, Culture, Programming is mostly about art and culture
9, documentary, Documentary, Programming that depicts a person or real-world event
11, entertainment, Entertainment, Channels with a variety of entertainment programs
13, general, General, Provides a variety of different programming
17, lifestyle, Lifestyle, Programs related to health, fitness, leisure, fashion, decor, etc.
18, movies, Movies, Channels that only show movies
19, music, Music, Programming is music or music related
20, news, News, Programming is mostly news
25, series, Series, Science and Technology
26, science, Science, Channels that only show series
