canon_key,winner,channel_name,tvg_id,epg_channel_id,group_title,country,language,url,source_file
tvg|ln_5a0b47c3-6dd5-4399-94fe-3d5390d762ae|,yes,Local Now NYC,LN_5A0B47C3-6DD5-4399-94FE-3D5390D762AE,,LocalNow🇺🇸: My City,,,https://s5host4.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config7/6382dce7bdc0a0da/3e68012d98d8a39c/playlist.m3u8?ads.cdnhost=s5host4.localnow.api.cms.amdvids.com&ads.playbackid=5A0B47C3-6DD5-4399-94FE-3D5390D762AE&ads.n1=rule_id&ads.v1=E7BB7BA1-D932-4E65-BD9F-93731E6E87C5-1744054592&ads.n3=qp_content_id&ads.v3=5A0B47C3-6DD5-4399-94FE-3D5390D762AE&ads.n4=content_name&ads.v4=EPG%20%7C%20Local%20Now%20SGA%20New%20York%20NY&ads.n21=channel_id&ads.v21=5A0B47C3-6DD5-4399-94FE-3D5390D762AE&ads.n22=channel_genre&ads.v22=News&ads.n23=channel_language&ads.v23=en&ads.n24=network_name&ads.v24=nyNewYorkCity&ads.n25=ip&ads.v25=195.179.200.80&ads.n26=gpp&ads.v26=&ads.n27=channel_name&ads.v27=EPG%20%20Local%20Now%20SGA%20New%20York%20NY&ads.n28=w&ads.v28=1920&ads.n29=content_provider&ads.v29=nyNewYorkCity&ads.n30=device_type&ads.v30=&ads.n31=content_custom_3_param&ads.v31=channel&ads.n32=content_producer_name&ads.v32=Local%20Now%20Local&ads.n33=url&ads.v33=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n34=channel_brand_id&ads.v34=AMDB012342&ads.n35=channel_rating&ads.v35=TV-PG&ads.n36=channel_company_id&ads.v36=AMDP500215&ads.n37=ifa_type&ads.v37=&ads.n38=device_make&ads.v38=&ads.n39=did&ads.v39=&ads.n40=channel_title&ads.v40=EPG%20%20Local%20Now%20SGA%20New%20York%20NY&ads.n41=app_bundle&ads.v41=&ads.n42=cust_devicename&ads.v42=desktop_web&ads.n43=pos&ads.v43=midroll&ads.n44=dnt&ads.v44=&ads.n45=content_type&ads.v45=channel&ads.n46=app_name&ads.v46=&ads.n47=channel_corp&ads.v47=Local%20Now%20Local&ads.n48=content_custom_2_param&ads.v48=AMDB012342&ads.n49=us_privacy&ads.v49=1YNY&ads.n50=h&ads.v50=1080&ads.n51=ua&ads.v51=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n52=app_version&ads.v52=0.0.0&ads.n53=device_model&ads.v53=&ads.n54=content_livestream&ads.v54=1&ads.n55=channel_ext_id&ads.v55=6180446cd34aba7e0a3dbca2&ads.n56=gpp_sid&ads.v56=&ads.n57=app_store_url&ads.v57=&ads.n58=content_custom_1_param&ads.v58=5A0B47C3-6DD5-4399-94FE-3D5390D762AE,data\raw\inbox\localnow.m3u
tvg|ln_5dee999e-5e7e-41a4-abde-661f71af39ab|,yes,Johnny Carson TV,LN_5DEE999E-5E7E-41A4-ABDE-661F71AF39AB,,LocalNow🇺🇸: Recommended,,,https://s1host1.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config1/playlist.m3u8?ads.cdnhost=s1host1.localnow.api.cms.amdvids.com&ads.playbackid=5DEE999E-5E7E-41A4-ABDE-661F71AF39AB&ads.n1=rule_id&ads.v1=E7BB7BA1-D932-4E65-BD9F-93731E6E87C5-1744054592&ads.n3=qp_content_id&ads.v3=5DEE999E-5E7E-41A4-ABDE-661F71AF39AB&ads.n4=content_name&ads.v4=EPG%20%7C%20Johnny%20Carson%20TV&ads.n21=channel_title&ads.v21=EPG%20%20Johnny%20Carson%20TV&ads.n22=channel_ext_id&ads.v22=5f9ac57e0c90b906e16b2872&ads.n23=did&ads.v23=&ads.n24=app_bundle&ads.v24=&ads.n25=device_make&ads.v25=&ads.n26=pos&ads.v26=midroll&ads.n27=channel_name&ads.v27=EPG%20%20Johnny%20Carson%20TV&ads.n28=channel_id&ads.v28=5DEE999E-5E7E-41A4-ABDE-661F71AF39AB&ads.n29=channel_rating&ads.v29=TV-PG&ads.n30=content_type&ads.v30=channel&ads.n31=channel_corp&ads.v31=Shout%21%20Factory%20LLC&ads.n32=app_name&ads.v32=&ads.n33=w&ads.v33=1920&ads.n34=content_producer_name&ads.v34=Shout%21%20Factory%20LLC&ads.n35=ua&ads.v35=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n36=device_model&ads.v36=&ads.n37=gpp&ads.v37=&ads.n38=gpp_sid&ads.v38=&ads.n39=h&ads.v39=1080&ads.n40=dnt&ads.v40=&ads.n41=content_custom_1_param&ads.v41=5DEE999E-5E7E-41A4-ABDE-661F71AF39AB&ads.n42=channel_company_id&ads.v42=AMDP500152&ads.n43=channel_language&ads.v43=en&ads.n44=content_provider&ads.v44=johnny-carson-tv&ads.n45=us_privacy&ads.v45=1YNY&ads.n46=content_custom_2_param&ads.v46=AMDB012045&ads.n47=network_name&ads.v47=johnny-carson-tv&ads.n48=channel_genre&ads.v48=Talk%20Show&ads.n49=channel_brand_id&ads.v49=AMDB012045&ads.n50=ip&ads.v50=195.179.200.80&ads.n51=cust_devicename&ads.v51=desktop_web&ads.n52=ifa_type&ads.v52=&ads.n53=device_type&ads.v53=&ads.n54=app_version&ads.v54=0.0.0&ads.n55=url&ads.v55=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n56=app_store_url&ads.v56=&ads.n57=content_custom_3_param&ads.v57=channel&ads.n58=content_livestream&ads.v58=1,data\raw\inbox\localnow.m3u
tvg|ln_6f32cebe-2240-45bc-944d-64b90a7d7698|,yes,McLeod's Daughters,LN_6F32CEBE-2240-45BC-944D-64B90A7D7698,,LocalNow🇺🇸: Recommended,,,https://s7host5.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config9/playlist.m3u8?ads.cdnhost=s7host5.localnow.api.cms.amdvids.com&ads.playbackid=6F32CEBE-2240-45BC-944D-64B90A7D7698&ads.n1=rule_id&ads.v1=E7BB7BA1-D932-4E65-BD9F-93731E6E87C5-1744054592&ads.n3=qp_content_id&ads.v3=6F32CEBE-2240-45BC-944D-64B90A7D7698&ads.n4=content_name&ads.v4=McLeod%27s%20Daughters%3A%20powered%20by%20Banijay&ads.n21=channel_rating&ads.v21=TV-PG&ads.n22=channel_language&ads.v22=en&ads.n23=us_privacy&ads.v23=1YNY&ads.n24=did&ads.v24=&ads.n25=channel_id&ads.v25=6F32CEBE-2240-45BC-944D-64B90A7D7698&ads.n26=content_producer_name&ads.v26=Banijay%20Rights%20LTD&ads.n27=content_custom_3_param&ads.v27=channel&ads.n28=pos&ads.v28=midroll&ads.n29=w&ads.v29=1920&ads.n30=gpp&ads.v30=&ads.n31=content_custom_2_param&ads.v31=AMDB013296&ads.n32=channel_corp&ads.v32=Banijay%20Rights%20LTD&ads.n33=ip&ads.v33=195.179.200.80&ads.n34=cust_devicename&ads.v34=desktop_web&ads.n35=app_bundle&ads.v35=&ads.n36=device_type&ads.v36=&ads.n37=channel_ext_id&ads.v37=&ads.n38=gpp_sid&ads.v38=&ads.n39=ua&ads.v39=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n40=channel_genre&ads.v40=Drama&ads.n41=device_model&ads.v41=&ads.n42=device_make&ads.v42=&ads.n43=channel_name&ads.v43=McLeod%27s%20Daughters%3A%20powered%20by%20Banijay&ads.n44=content_livestream&ads.v44=1&ads.n45=app_store_url&ads.v45=&ads.n46=channel_brand_id&ads.v46=AMDB013296&ads.n47=app_version&ads.v47=0.0.0&ads.n48=content_custom_1_param&ads.v48=6F32CEBE-2240-45BC-944D-64B90A7D7698&ads.n49=channel_company_id&ads.v49=AMDP500504&ads.n50=app_name&ads.v50=&ads.n51=content_type&ads.v51=channel&ads.n52=ifa_type&ads.v52=&ads.n53=dnt&ads.v53=&ads.n54=h&ads.v54=1080&ads.n55=network_name&ads.v55=mcleods-daughters-powered-by-banijay&ads.n56=channel_title&ads.v56=McLeod%27s%20Daughters%3A%20powered%20by%20Banijay&ads.n57=url&ads.v57=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n58=content_provider&ads.v58=mcleods-daughters-powered-by-banijay,data\raw\inbox\localnow.m3u
tvg|ln_c8596e36-9338-457d-be4b-b96d1ddb8cc6|,yes,PBS Antiques Roadshow,LN_C8596E36-9338-457D-BE4B-B96D1DDB8CC6,,LocalNow🇺🇸: Recommended,,,https://s9host2.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config11/playlist.m3u8?ads.cdnhost=s9host2.localnow.api.cms.amdvids.com&ads.playbackid=C8596E36-9338-457D-BE4B-B96D1DDB8CC6&ads.n1=rule_id&ads.v1=E7BB7BA1-D932-4E65-BD9F-93731E6E87C5-1744054592&ads.n3=qp_content_id&ads.v3=C8596E36-9338-457D-BE4B-B96D1DDB8CC6&ads.n4=content_name&ads.v4=PBS%20Antiques%20Roadshow&ads.n21=channel_rating&ads.v21=TV-PG&ads.n22=content_custom_3_param&ads.v22=channel&ads.n23=content_custom_1_param&ads.v23=C8596E36-9338-457D-BE4B-B96D1DDB8CC6&ads.n24=h&ads.v24=1080&ads.n25=ifa_type&ads.v25=&ads.n26=device_type&ads.v26=&ads.n27=us_privacy&ads.v27=1YNY&ads.n28=url&ads.v28=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n29=content_livestream&ads.v29=1&ads.n30=channel_title&ads.v30=PBS%20Antiques%20Roadshow&ads.n31=dnt&ads.v31=&ads.n32=channel_id&ads.v32=C8596E36-9338-457D-BE4B-B96D1DDB8CC6&ads.n33=ua&ads.v33=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n34=device_model&ads.v34=&ads.n35=app_name&ads.v35=&ads.n36=channel_genre&ads.v36=Entertainment&ads.n37=content_type&ads.v37=channel&ads.n38=app_bundle&ads.v38=&ads.n39=w&ads.v39=1920&ads.n40=app_store_url&ads.v40=&ads.n41=did&ads.v41=&ads.n42=content_custom_2_param&ads.v42=AMDB013475&ads.n43=ip&ads.v43=195.179.200.80&ads.n44=channel_language&ads.v44=en&ads.n45=cust_devicename&ads.v45=desktop_web&ads.n46=channel_name&ads.v46=PBS%20Antiques%20Roadshow&ads.n47=content_provider&ads.v47=pbs-antiques-roadshow&ads.n48=gpp_sid&ads.v48=&ads.n49=channel_company_id&ads.v49=AMDP500543&ads.n50=content_producer_name&ads.v50=Public%20Media%20Distribution%20LLC&ads.n51=gpp&ads.v51=&ads.n52=app_version&ads.v52=0.0.0&ads.n53=channel_corp&ads.v53=Public%20Media%20Distribution%20LLC&ads.n54=pos&ads.v54=midroll&ads.n55=device_make&ads.v55=&ads.n56=channel_ext_id&ads.v56=&ads.n57=channel_brand_id&ads.v57=AMDB013475&ads.n58=network_name&ads.v58=pbs-antiques-roadshow,data\raw\inbox\localnow.m3u
tvg|ln_2f313b57-c7ae-4230-8ef0-ca6078850402|,yes,Bark TV,LN_2F313B57-C7AE-4230-8EF0-CA6078850402,,LocalNow🇺🇸: Recommended,,,https://s2host2.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config2/HLS/FIDO_SCTE.m3u8?ads.cdnhost=s2host2.localnow.api.cms.amdvids.com&ads.playbackid=2F313B57-C7AE-4230-8EF0-CA6078850402&ads.n1=rule_id&ads.v1=E7BB7BA1-D932-4E65-BD9F-93731E6E87C5-1744054592&ads.n3=qp_content_id&ads.v3=2F313B57-C7AE-4230-8EF0-CA6078850402&ads.n4=content_name&ads.v4=Bark%20TV&ads.n21=device_type&ads.v21=&ads.n22=channel_genre&ads.v22=Nature&ads.n23=content_custom_2_param&ads.v23=AMDB012152&ads.n24=h&ads.v24=1080&ads.n25=gpp&ads.v25=&ads.n26=w&ads.v26=1920&ads.n27=content_livestream&ads.v27=1&ads.n28=content_provider&ads.v28=fido-tv&ads.n29=url&ads.v29=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n30=channel_language&ads.v30=en&ads.n31=channel_corp&ads.v31=Triple-B%20Media%20LLC&ads.n32=channel_ext_id&ads.v32=60d203fd9004e453316e7b92&ads.n33=gpp_sid&ads.v33=&ads.n34=channel_id&ads.v34=2F313B57-C7AE-4230-8EF0-CA6078850402&ads.n35=content_custom_1_param&ads.v35=2F313B57-C7AE-4230-8EF0-CA6078850402&ads.n36=channel_rating&ads.v36=TV-PG&ads.n37=device_model&ads.v37=&ads.n38=content_custom_3_param&ads.v38=channel&ads.n39=ip&ads.v39=195.179.200.80&ads.n40=pos&ads.v40=midroll&ads.n41=content_producer_name&ads.v41=Triple-B%20Media%20LLC&ads.n42=content_type&ads.v42=channel&ads.n43=device_make&ads.v43=&ads.n44=channel_name&ads.v44=Bark%20TV&ads.n45=ifa_type&ads.v45=&ads.n46=ua&ads.v46=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n47=app_bundle&ads.v47=&ads.n48=cust_devicename&ads.v48=desktop_web&ads.n49=channel_title&ads.v49=Bark%20TV&ads.n50=channel_brand_id&ads.v50=AMDB012152&ads.n51=dnt&ads.v51=&ads.n52=app_store_url&ads.v52=&ads.n53=did&ads.v53=&ads.n54=network_name&ads.v54=fido-tv&ads.n55=app_version&ads.v55=0.0.0&ads.n56=channel_company_id&ads.v56=AMDP500174&ads.n57=us_privacy&ads.v57=1YNY&ads.n58=app_name&ads.v58=,data\raw\inbox\localnow.m3u
tvg|ln_753cc8ea-2def-47b1-92dc-86eea17167bd|,yes,MotorRacing,LN_753CC8EA-2DEF-47B1-92DC-86EEA17167BD,,LocalNow🇺🇸: Recommended,,,https://s4host4.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config5/strm/channels/motorracing/master.m3u8?ads.cdnhost=s4host4.localnow.api.cms.amdvids.com&ads.playbackid=753CC8EA-2DEF-47B1-92DC-86EEA17167BD&ads.n1=rule_id&ads.v1=E7BB7BA1-D932-4E65-BD9F-93731E6E87C5-1744054592&ads.n3=qp_content_id&ads.v3=753CC8EA-2DEF-47B1-92DC-86EEA17167BD&ads.n4=content_name&ads.v4=EPG%20%7C%20MotorRacing%20Channel&ads.n21=channel_ext_id&ads.v21=6414b866bf541914830e8279&ads.n22=us_privacy&ads.v22=1YNY&ads.n23=ua&ads.v23=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n24=dnt&ads.v24=&ads.n25=content_producer_name&ads.v25=Horizon%20Sports%20Limited&ads.n26=ip&ads.v26=195.179.200.80&ads.n27=channel_corp&ads.v27=Horizon%20Sports%20Limited&ads.n28=channel_name&ads.v28=EPG%20%20MotorRacing%20Channel&ads.n29=content_custom_2_param&ads.v29=AMDB012494&ads.n30=device_model&ads.v30=&ads.n31=w&ads.v31=1920&ads.n32=cust_devicename&ads.v32=desktop_web&ads.n33=device_make&ads.v33=&ads.n34=channel_id&ads.v34=753CC8EA-2DEF-47B1-92DC-86EEA17167BD&ads.n35=channel_rating&ads.v35=TV-PG&ads.n36=gpp_sid&ads.v36=&ads.n37=channel_brand_id&ads.v37=AMDB012494&ads.n38=content_custom_1_param&ads.v38=753CC8EA-2DEF-47B1-92DC-86EEA17167BD&ads.n39=app_store_url&ads.v39=&ads.n40=app_version&ads.v40=0.0.0&ads.n41=did&ads.v41=&ads.n42=url&ads.v42=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n43=channel_genre&ads.v43=Sports&ads.n44=channel_title&ads.v44=EPG%20%20MotorRacing%20Channel&ads.n45=ifa_type&ads.v45=&ads.n46=content_provider&ads.v46=motorracing&ads.n47=app_bundle&ads.v47=&ads.n48=h&ads.v48=1080&ads.n49=app_name&ads.v49=&ads.n50=gpp&ads.v50=&ads.n51=channel_company_id&ads.v51=AMDP500219&ads.n52=pos&ads.v52=midroll&ads.n53=channel_language&ads.v53=en&ads.n54=content_type&ads.v54=channel&ads.n55=network_name&ads.v55=motorracing&ads.n56=content_custom_3_param&ads.v56=channel&ads.n57=device_type&ads.v57=&ads.n58=content_livestream&ads.v58=1,data\raw\inbox\localnow.m3u
tvg|ln_14f5d3b6-fa2c-4e41-91ad-cd037209d874|,yes,NBC News NOW,LN_14F5D3B6-FA2C-4E41-91AD-CD037209D874,,LocalNow🇺🇸: News And Opinion,,,https://s4host3.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config5/live/master.m3u8?ads.cdnhost=s4host3.localnow.api.cms.amdvids.com&ads.playbackid=14F5D3B6-FA2C-4E41-91AD-CD037209D874&ads.n1=rule_id&ads.v1=F0F2D67E-43F6-4794-9B68-414843159DD7-1714063134&ads.n3=qp_content_id&ads.v3=14F5D3B6-FA2C-4E41-91AD-CD037209D874&ads.n4=content_name&ads.v4=EPG%20%7C%20NBC%20News%20NOW&ads.n21=channel_company_id&ads.v21=AMDP500448&ads.n22=cust_devicename&ads.v22=desktop_web&ads.n23=did&ads.v23=&ads.n24=channel_id&ads.v24=14F5D3B6-FA2C-4E41-91AD-CD037209D874&ads.n25=ip&ads.v25=195.179.200.80&ads.n26=app_name&ads.v26=&ads.n27=device_type&ads.v27=&ads.n28=content_custom_3_param&ads.v28=channel&ads.n29=content_livestream&ads.v29=1&ads.n30=ifa_type&ads.v30=&ads.n31=w&ads.v31=1920&ads.n32=content_provider&ads.v32=nbc-news-now&ads.n33=url&ads.v33=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n34=channel_corp&ads.v34=NBCUniversal&ads.n35=ua&ads.v35=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n36=app_version&ads.v36=0.0.0&ads.n37=channel_brand_id&ads.v37=AMDB012977&ads.n38=channel_language&ads.v38=en&ads.n39=channel_title&ads.v39=EPG%20%20NBC%20News%20NOW&ads.n40=pos&ads.v40=midroll&ads.n41=channel_rating&ads.v41=TV-PG&ads.n42=content_type&ads.v42=channel&ads.n43=device_make&ads.v43=&ads.n44=network_name&ads.v44=nbc-news-now&ads.n45=channel_name&ads.v45=EPG%20%20NBC%20News%20NOW&ads.n46=dnt&ads.v46=&ads.n47=content_custom_2_param&ads.v47=AMDB012977&ads.n48=h&ads.v48=1080&ads.n49=device_model&ads.v49=&ads.n50=content_custom_1_param&ads.v50=14F5D3B6-FA2C-4E41-91AD-CD037209D874&ads.n51=channel_ext_id&ads.v51=63447f9cae4a4e106f0e962b&ads.n52=app_bundle&ads.v52=&ads.n53=us_privacy&ads.v53=1YNY&ads.n54=channel_genre&ads.v54=News&ads.n55=app_store_url&ads.v55=&ads.n56=content_producer_name&ads.v56=NBCUniversal,data\raw\inbox\localnow.m3u
tvg|ln_7ad66cc7-82f6-45d7-a9dd-dcbc16958f71|,yes,TODAY All Day,LN_7AD66CC7-82F6-45D7-A9DD-DCBC16958F71,,LocalNow🇺🇸: News And Opinion,,,https://s1host5.localnow.api.cms.amdvids.com/v1/master/c189661feba961c19bc5fb60b57879ee9b84548a/config2/live/master.m3u8?ads.cdnhost=s1host5.localnow.api.cms.amdvids.com&ads.playbackid=7AD66CC7-82F6-45D7-A9DD-DCBC16958F71&ads.n1=rule_id&ads.v1=F0F2D67E-43F6-4794-9B68-414843159DD7-1714063134&ads.n3=qp_content_id&ads.v3=7AD66CC7-82F6-45D7-A9DD-DCBC16958F71&ads.n4=content_name&ads.v4=EPG%20%7C%20TODAY%20All%20Day&ads.n21=pos&ads.v21=midroll&ads.n22=channel_language&ads.v22=en&ads.n23=dnt&ads.v23=&ads.n24=app_bundle&ads.v24=&ads.n25=content_type&ads.v25=channel&ads.n26=channel_name&ads.v26=EPG%20%20TODAY%20All%20Day&ads.n27=channel_genre&ads.v27=News&ads.n28=app_store_url&ads.v28=&ads.n29=us_privacy&ads.v29=1YNY&ads.n30=content_custom_2_param&ads.v30=AMDB012975&ads.n31=app_name&ads.v31=&ads.n32=ifa_type&ads.v32=&ads.n33=content_custom_3_param&ads.v33=channel&ads.n34=channel_rating&ads.v34=TV-PG&ads.n35=channel_company_id&ads.v35=AMDP500448&ads.n36=device_model&ads.v36=&ads.n37=content_producer_name&ads.v37=NBCUniversal&ads.n38=network_name&ads.v38=all-day-today&ads.n39=h&ads.v39=1080&ads.n40=did&ads.v40=&ads.n41=cust_devicename&ads.v41=desktop_web&ads.n42=device_make&ads.v42=&ads.n43=device_type&ads.v43=&ads.n44=channel_title&ads.v44=EPG%20%20TODAY%20All%20Day&ads.n45=ip&ads.v45=195.179.200.80&ads.n46=channel_ext_id&ads.v46=63447fc608a9e578160ca9ec&ads.n47=url&ads.v47=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ads.n48=channel_brand_id&ads.v48=AMDB012975&ads.n49=content_custom_1_param&ads.v49=7AD66CC7-82F6-45D7-A9DD-DCBC16958F71&ads.n50=w&ads.v50=1920&ads.n51=channel_id&ads.v51=7AD66CC7-82F6-45D7-A9DD-DCBC16958F71&ads.n52=ua&ads.v52=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&ads.n53=channel_corp&ads.v53=NBCUniversal&ads.n54=content_livestream&ads.v54=1&ads.n55=content_provider&ads.v55=all-day-today&ads.n56=app_version&ads.v56=0.0.0,data\raw\inbox\localnow.m3u
tvg|ln_781b6787-565e-4146-99c1-6595d03060dd|,yes,CBS News 24/7,LN_781B6787-565E-4146-99C1-6595D03060DD,,LocalNow🇺🇸: News And Opinion,,,https://amd-mediator-eolq3tk4la-uk.a.run.app/cbs/map.m3u8?am.originUrl=https%3A%2F%2Fdai.google.com%2Flinear%2Fhls%2Fevent%2FSid4xiTQTkCT1SLu6rjUSQ%2Fmaster.m3u8&imafw_csid=desktop_web&imafw__fw_did=&imafw__fw_is_lat=&imafw__fw_vcid2=&imafw__fw_app_bundle=&imafw__fw_us_privacy=1YNY&attmas=not_determined&ip_addr=195.179.200.80&page_url=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ua=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&width=1920&app_version=0.0.0&height=1080,data\raw\inbox\localnow.m3u
tvg|ln_324d86db-0f5e-4035-a08b-80897a293c0d|,yes,60 Minutes,LN_324D86DB-0F5E-4035-A08B-80897A293C0D,,LocalNow🇺🇸: News And Opinion,,,https://amd-mediator-eolq3tk4la-uk.a.run.app/cbs/map.m3u8?imafw__fw_is_lat=&imafw__fw_vcid2=&imafw__fw_app_bundle=&imafw__fw_us_privacy=1YNY&attmas=not_determined&am.originUrl=https%3A%2F%2Fdai.google.com%2Flinear%2Fhls%2Fevent%2Fnrb-l85CR7SIr-rGXqz4zA%2Fmaster.m3u8&imafw_csid=desktop_web&imafw__fw_did=&ip_addr=195.179.200.80&page_url=https%25253A%25252F%25252Flocalnow.com%25252Fchannels%25252Fcbs-news-chicago-hyperlocal&ua=Mozilla%2F5.0%20%28Windows%20NT%2010.0%3B%20Win64%3B%20x64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F122.0.0.0%20Safari%2F537.36&width=1920&app_version=0.0.0&height=1080,data\raw\inbox\localnow.m3u
