source_region,source_file,channel_id,display_name,display_names_all,icon_src,url
AU,epg_pw_AU.xml,3264,9Life,9Life,https://epg.pw/media/images/epg/2024/06/09/20240609083555307702_14.png,
AU,epg_pw_AU.xml,3269,ABC ME,ABC ME,https://epg.pw/media/images/epg/2024/06/09/20240609083600248144_91.png,
AU,epg_pw_AU.xml,3295,ABC TV Plus,ABC TV Plus,https://epg.pw/media/images/epg/2024/06/09/20240609083608574128_44.png,
AU,epg_pw_AU.xml,3307,9Rush,9Rush,https://epg.pw/media/images/epg/2024/06/09/20240609084155305271_68.png,
AU,epg_pw_AU.xml,3312,9Gem,9Gem,https://epg.pw/media/images/epg/2024/06/09/20240609083653828141_83.png,
AU,epg_pw_AU.xml,3357,ABC TV,ABC TV,https://epg.pw/media/images/epg/2024/06/09/20240609084002452303_18.png,
AU,epg_pw_AU.xml,3371,10,10,https://epg.pw/media/images/epg/2024/06/09/20240609083755559952_78.png,
AU,epg_pw_AU.xml,3381,9Go!,9Go!,https://epg.pw/media/images/epg/2024/06/09/20240609084016353394_57.png,
AU,epg_pw_AU.xml,3386,ABC Kids,ABC Kids,https://epg.pw/media/images/epg/2024/06/09/20240609084023499560_90.png,
AU,epg_pw_AU.xml,3401,10 SHAKE,10 SHAKE,https://epg.pw/media/images/epg/2024/06/09/20240609084031217429_26.png,
AU,epg_pw_AU.xml,3433,10 Peach,10 Peach,https://epg.pw/media/images/epg/2024/06/09/20240609084057038129_60.png,
AU,epg_pw_AU.xml,3474,ABC NEWS,ABC NEWS,https://epg.pw/media/images/epg/2024/06/09/20240609084117644748_47.png,
AU,epg_pw_AU.xml,3501,Channel 9,Channel 9,https://epg.pw/media/images/epg/2024/06/09/20240609084152843836_25.png,
AU,epg_pw_AU.xml,3556,10 BOLD,10 BOLD,https://epg.pw/media/images/epg/2024/06/09/20240609084241171328_39.png,
AU,epg_pw_AU.xml,40886,Racing.com,Racing.com,https://epg.pw/media/images/epg/2024/06/09/20240609083616610267_73.png,
AU,epg_pw_AU.xml,40892,7flix,7flix,https://epg.pw/media/images/epg/2024/06/09/20240609083650511169_43.png,
AU,epg_pw_AU.xml,40900,7two,7two,https://epg.pw/media/images/epg/2024/06/09/20240609083747554976_38.png,
AU,epg_pw_AU.xml,40901,7Bravo,7Bravo,https://epg.pw/media/images/epg/2024/06/09/20240609083752892827_73.png,
AU,epg_pw_AU.xml,40930,7mate,7mate,https://epg.pw/media/images/epg/2024/06/09/20240609084106178969_47.png,
AU,epg_pw_AU.xml,40933,Seven,Seven,https://epg.pw/media/images/epg/2024/06/09/20240609084125121432_71.png,
AU,epg_pw_AU.xml,105773,Wicked Tuna,Wicked Tuna,https://epg.pw/media/images/epg/2024/06/09/20240609084044099147_19.png,
AU,epg_pw_AU.xml,105778,Nick Jr,Nick Jr,https://epg.pw/media/images/epg/2024/06/09/20240609083539868471_87.png,
AU,epg_pw_AU.xml,105784,48 Hours,48 Hours,https://epg.pw/media/images/epg/2024/06/09/20240609083618863455_85.png,
AU,epg_pw_AU.xml,105785,True Stories,True Stories,https://epg.pw/media/images/epg/2024/06/09/20240609083621096224_43.png,
