"repo_root","has_git","has_readme","last_write"
"F:\Users\Lenovo","True","False","29/11/25 3:37:55 PM"
"F:\Users\Lenovo\.cargo\bin\git\checkouts\rust-numpy-af6c525f61fed96f\9ba9962","True","True","13/10/25 3:52:39 PM"
"F:\Users\Lenovo\AudioLDM","True","True","11/01/25 10:45:50 PM"
"F:\Users\Lenovo\chrome-capture-for-channels","True","True","08/11/24 9:16:03 PM"
"F:\Users\Lenovo\Documents\Projects\baden-move","True","False","02/05/25 2:23:31 AM"
"F:\Users\Lenovo\Documents\Projects\Custom Work\Video_to_Text_Transcription_and_OCR","True","True","05/08/24 7:55:34 PM"
"F:\Users\Lenovo\Documents\Projects\Edit_n_Manage_IPTV_Files","True","False","09/11/24 6:12:34 PM"
"F:\Users\Lenovo\Documents\Projects\epg","True","True","26/09/25 10:44:56 AM"
"F:\Users\Lenovo\Documents\Projects\EPlusTV","True","True","08/11/24 9:35:08 PM"
"F:\Users\Lenovo\Documents\Projects\gimp3-rembg-plugin","True","True","20/11/24 4:51:28 PM"
"F:\Users\Lenovo\Documents\Projects\gimp3-rembg-plugin\gimp3-rembg-plugin","True","True","20/11/24 3:06:22 PM"
"F:\Users\Lenovo\Documents\Projects\home\google-oauth20-test\google-oauth20-test","True","True","31/10/25 11:51:46 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-m3u-viewer","True","True","09/11/24 11:51:50 AM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\api","True","True","20/11/24 4:48:28 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\database","True","True","20/11/24 4:48:28 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\epg","True","True","20/11/24 4:48:31 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\epg\epg","True","True","20/11/24 4:48:31 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\iptv","True","True","20/11/24 3:31:30 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\api","True","True","04/11/24 2:48:07 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\database","True","True","04/11/24 2:48:27 PM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\epg","True","True","12/11/24 11:21:21 AM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\epg\epg","True","True","12/11/24 10:59:08 AM"
"F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\iptv","True","True","20/11/24 3:31:30 PM"
"F:\Users\Lenovo\Documents\Projects\m3u-epg-editor","True","True","01/12/24 3:15:58 PM"
"F:\Users\Lenovo\Documents\Projects\m3u-filter","True","True","20/11/24 6:02:35 PM"
"F:\Users\Lenovo\Documents\Projects\M3UManager","True","True","04/11/24 2:21:32 PM"
"F:\Users\Lenovo\Documents\Projects\m3utodb","True","False","06/11/24 4:25:41 PM"
"F:\Users\Lenovo\Documents\Projects\Manage_Google_Drive","True","False","10/11/24 9:52:13 PM"
"F:\Users\Lenovo\Documents\Projects\my_TV_Movie\android_tv_movie","True","True","21/11/25 1:14:15 PM"
"F:\Users\Lenovo\Documents\Projects\my_TV_Movie\my_TV_Movie","True","True","21/12/25 1:37:52 AM"
"F:\Users\Lenovo\Documents\Projects\obs-backgroundremoval","True","True","01/09/24 12:32:46 PM"
"F:\Users\Lenovo\Documents\Projects\obs-StreamFX","True","False","01/09/24 12:32:10 PM"
"F:\Users\Lenovo\Documents\Projects\obs-StreamFX\cmake\clang","True","True","01/09/24 12:34:48 PM"
"F:\Users\Lenovo\Documents\Projects\obs-StreamFX\cmake\version","True","True","01/09/24 12:34:48 PM"
"F:\Users\Lenovo\Documents\Projects\obs-StreamFX\third-party\msvc-redist-helper","True","True","01/09/24 12:34:48 PM"
"F:\Users\Lenovo\Documents\Projects\obs-StreamFX\third-party\msvc-redist-helper\cmake\clang","True","True","01/09/24 12:35:15 PM"
"F:\Users\Lenovo\Documents\Projects\obs-StreamFX\third-party\msvc-redist-helper\third-party\curl","True","True","01/09/24 12:35:17 PM"
