"normalized_name","source_path","quarantine_target_path","status","detail"
"ca_iptv_file_1_28_08_2025","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\CA-IPTV-File-1-28-08-2025.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\CA-IPTV-File-1-28-08-2025.m3u","SOURCE_MISSING","Source file not found"
"consolidated_20251105_060832","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\consolidated_20251105_060832.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\consolidated_20251105_060832.m3u","SOURCE_MISSING","Source file not found"
"localnow","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\localnow.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\localnow.m3u","SOURCE_MISSING","Source file not found"
"merged","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\merged.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\merged.m3u","SOURCE_MISSING","Source file not found"
"playlist_apsattv_distro","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_apsattv_distro.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_apsattv_distro.m3u","SOURCE_MISSING","Source file not found"
"playlist_apsattv_localnow","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_apsattv_localnow.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_apsattv_localnow.m3u","SOURCE_MISSING","Source file not found"
"playlist_iptv_org_index","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_iptv-org_index.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_iptv-org_index.m3u","SOURCE_MISSING","Source file not found"
"playlist_iptv_org_us","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_iptv-org_us.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_iptv-org_us.m3u","SOURCE_MISSING","Source file not found"
"playlist_local_us","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_local_us.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_local_us.m3u","SOURCE_MISSING","Source file not found"
"step4_url_health_20251226_234610_preview","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\step4_url_health_20251226_234610__preview.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\step4_url_health_20251226_234610__preview.m3u","SOURCE_MISSING","Source file not found"
"usa_britbox_mysteries_alliptvlinks_com","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\USA BRITBOX MYSTERIES_alliptvlinks_com.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\USA BRITBOX MYSTERIES_alliptvlinks_com.m3u","SOURCE_MISSING","Source file not found"
"usa_british_drama_alliptvlinks_com","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\USA BRITISH DRAMA_alliptvlinks_com.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\USA BRITISH DRAMA_alliptvlinks_com.m3u","SOURCE_MISSING","Source file not found"
