"normalized_name","overlap_count","roots_present","extensions_present","root_label","extension","size_bytes","full_path"
"broadcast_losangeles_ca_us_channels_10272","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","13862","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\Broadcast_LosAngeles_CA_US_channels_10272.xml"
"broadcast_losangeles_ca_us_channels_10272","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","53592","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Broadcast_LosAngeles_CA[US]-channels-10272.xml"
"channels","2","paid_xmltv_repo",".json","paid_xmltv_repo",".json","540188","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\channels.json"
"channels","2","paid_xmltv_repo",".json","paid_xmltv_repo",".json","181405","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\channels.json"
"lineups","3","paid_xmltv_repo",".csv;.json;.xml","paid_xmltv_repo",".csv","181","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.csv"
"lineups","3","paid_xmltv_repo",".csv;.json;.xml","paid_xmltv_repo",".json","391","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.json"
"lineups","3","paid_xmltv_repo",".csv;.json;.xml","paid_xmltv_repo",".xml","259","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.xml"
"remove_lists_ca","2","paid_xmltv_repo",".bak;.txt","paid_xmltv_repo",".bak","8407","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_CA.bak"
"remove_lists_ca","2","paid_xmltv_repo",".bak;.txt","paid_xmltv_repo",".txt","8407","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_CA.txt"
"remove_lists_us","2","paid_xmltv_repo",".bak;.txt","paid_xmltv_repo",".bak","26096","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_US.bak"
"remove_lists_us","2","paid_xmltv_repo",".bak;.txt","paid_xmltv_repo",".txt","26096","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_US.txt"
"rogers_toronto_on_ca_channels_10270","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","81249","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\Rogers_Toronto_ON_CA_channels_10270.xml"
"rogers_toronto_on_ca_channels_10270","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","202592","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Rogers_Toronto_ON[CA]-channels-10270.xml"
"telus_optik_vancouver_bc_ca_channels_10269","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","20678","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\Telus_Optik_Vancouver_BC_CA_channels_10269.xml"
"telus_optik_vancouver_bc_ca_channels_10269","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","132466","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Telus_Optik_Vancouver_BC[CA]-channels-10269.xml"
"verizon_fios_newyork_ny_us_channels_10273","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","78816","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\Verizon_FIOS_NewYork_NY_US_channels_10273.xml"
"verizon_fios_newyork_ny_us_channels_10273","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","217403","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Verizon_FIOS_NewYork_NY[US]-channels-10273.xml"
"xfinity_chicago_il_us_channels_10271","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","94309","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\Xfinity_Chicago_IL_US_channels_10271.xml"
"xfinity_chicago_il_us_channels_10271","2","paid_xmltv_repo",".xml","paid_xmltv_repo",".xml","310339","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Xfinity_Chicago_IL[US]-channels-10271.xml"
"manual_channel_review","2","paid_xmltv_repo",".csv;.xlsx","paid_xmltv_repo",".csv","4678","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Manual_Channel_Review.csv"
"manual_channel_review","2","paid_xmltv_repo",".csv;.xlsx","paid_xmltv_repo",".xlsx","39221","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Manual_Channel_Review.xlsx"
"match_for_anlysis_01_08_2025","2","paid_xmltv_repo",".csv;.xlsx","paid_xmltv_repo",".csv","126051","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\match-for_anlysis-01-08-2025.csv"
"match_for_anlysis_01_08_2025","2","paid_xmltv_repo",".csv;.xlsx","paid_xmltv_repo",".xlsx","80751","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\match-for_anlysis-01-08-2025.xlsx"
