"normalized_name","file_name","source_path","quarantine_target_path","size_bytes","last_write_time","status","target_conflict"
"ca_iptv_file_1_28_08_2025","CA-IPTV-File-1-28-08-2025.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\CA-IPTV-File-1-28-08-2025.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\CA-IPTV-File-1-28-08-2025.m3u","237334","2025-09-01 22:26:04","KEEP_IN_PLACE","False"
"ca_iptv_file_1_28_08_2025","CA-IPTV-File-1-28-08-2025.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\CA-IPTV-File-1-28-08-2025.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\CA-IPTV-File-1-28-08-2025.m3u","237334","2025-09-01 22:26:04","MOVE_TO_QUARANTINE_REVIEW","False"
"consolidated_20251105_060832","consolidated_20251105_060832.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\consolidated_20251105_060832.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\consolidated_20251105_060832.m3u","727917","2025-11-05 01:11:10","KEEP_IN_PLACE","False"
"consolidated_20251105_060832","consolidated_20251105_060832.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\consolidated_20251105_060832.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\consolidated_20251105_060832.m3u","727917","2025-11-05 01:11:10","MOVE_TO_QUARANTINE_REVIEW","False"
"localnow","localnow.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\localnow.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\localnow.m3u","959372","2025-08-21 00:29:55","KEEP_IN_PLACE","False"
"localnow","localnow.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\localnow.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\localnow.m3u","959372","2025-08-21 00:29:55","MOVE_TO_QUARANTINE_REVIEW","False"
"merged","merged.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\merged.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\merged.m3u","553420","2025-09-08 22:12:47","KEEP_IN_PLACE","False"
"merged","merged.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\merged.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\merged.m3u","553420","2025-09-08 22:12:47","MOVE_TO_QUARANTINE_REVIEW","False"
"playlist_apsattv_distro","playlist_apsattv_distro.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\playlist_apsattv_distro.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\playlist_apsattv_distro.m3u","412987","2025-08-11 15:31:52","KEEP_IN_PLACE","False"
"playlist_apsattv_distro","playlist_apsattv_distro.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_apsattv_distro.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_apsattv_distro.m3u","412987","2025-08-11 15:31:52","MOVE_TO_QUARANTINE_REVIEW","False"
"playlist_apsattv_localnow","playlist_apsattv_localnow.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\playlist_apsattv_localnow.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\playlist_apsattv_localnow.m3u","959372","2025-08-11 15:31:47","KEEP_IN_PLACE","False"
"playlist_apsattv_localnow","playlist_apsattv_localnow.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_apsattv_localnow.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_apsattv_localnow.m3u","959372","2025-08-11 15:31:47","MOVE_TO_QUARANTINE_REVIEW","False"
"playlist_iptv_org_index","playlist_iptv-org_index.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\playlist_iptv-org_index.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\playlist_iptv-org_index.m3u","2627376","2025-08-12 12:11:55","KEEP_IN_PLACE","False"
"playlist_iptv_org_index","playlist_iptv-org_index.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_iptv-org_index.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_iptv-org_index.m3u","2627376","2025-08-12 12:11:55","MOVE_TO_QUARANTINE_REVIEW","False"
"playlist_iptv_org_us","playlist_iptv-org_us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\playlist_iptv-org_us.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\playlist_iptv-org_us.m3u","409150","2025-08-12 10:05:11","KEEP_IN_PLACE","False"
"playlist_iptv_org_us","playlist_iptv-org_us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_iptv-org_us.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_iptv-org_us.m3u","409150","2025-08-12 10:05:11","MOVE_TO_QUARANTINE_REVIEW","False"
"playlist_local_us","playlist_local_us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\playlist_local_us.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\playlist_local_us.m3u","542127","2025-08-11 15:31:55","KEEP_IN_PLACE","False"
"playlist_local_us","playlist_local_us.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\playlist_local_us.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\playlist_local_us.m3u","542127","2025-08-11 15:31:55","MOVE_TO_QUARANTINE_REVIEW","False"
"step4_url_health_20251226_234610_preview","step4_url_health_20251226_234610__preview.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\step4_url_health_20251226_234610__preview.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\step4_url_health_20251226_234610__preview.m3u","149408","2025-12-28 12:20:44","KEEP_IN_PLACE","False"
"step4_url_health_20251226_234610_preview","step4_url_health_20251226_234610__preview.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\sources\step4_url_health_20251226_234610__preview.m3u","C:\Users\andrew\PROJECTS\iptv_quarantine\pending_review\legacy_load_files_dedupe\sources\step4_url_health_20251226_234610__preview.m3u","149408","2025-12-28 12:20:44","MOVE_TO_QUARANTINE_REVIEW","False"
