"source_label","source_mode","source_root","category","extension","size_bytes","last_write_time","file_name","relative_path","full_path"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","5600","2026-04-09 22:18:47","AU_allowlist.json","scope_outputs\AU_allowlist.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\scope_outputs\AU_allowlist.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","11665","2026-01-14 16:36:54","channel_name_map.csv",".archive\channel_name_map.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\channel_name_map.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","166479","2026-01-15 22:29:06","channel_name_matrix.csv","channel_name_matrix.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\channel_name_matrix.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".html","792336","2026-04-07 00:16:20","CHANNEL_REVIEW_TOOL.html","CHANNEL_REVIEW_TOOL.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\CHANNEL_REVIEW_TOOL.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","189359","2026-01-14 16:36:54","channels.enriched.json",".archive\channels.enriched.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\channels.enriched.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","181405","2026-01-09 19:50:54","channels.json",".archive\channels.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\channels.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","540188","2026-01-15 22:29:06","channels.json","channels.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\channels.json"
"legacy_review_input","review_input","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files","reference_metadata",".ini","46","2026-02-06 18:43:41","desktop.ini","desktop.ini","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\desktop.ini"
"legacy_review_input","review_input","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files","reference_metadata",".xml","26252027","2025-11-22 15:52:39","epg_au.xml","epg_au.xml","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\epg_au.xml"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".html","18011","2026-04-09 22:18:33","EXTENDED_INPUT_PARSE_REPORT.html","EXTENDED_INPUT_PARSE_REPORT.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\EXTENDED_INPUT_PARSE_REPORT.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","78108","2026-04-09 22:18:33","INPUT_SCOPE_CHANNEL_DATA.json","INPUT_SCOPE_CHANNEL_DATA.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\INPUT_SCOPE_CHANNEL_DATA.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".html","122286","2026-04-09 22:18:33","INPUT_SCOPE_CHANNEL_REVIEW.html","INPUT_SCOPE_CHANNEL_REVIEW.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\INPUT_SCOPE_CHANNEL_REVIEW.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","10500","2026-04-09 22:18:47","INPUT_SCOPE_DECISIONS.seed.json","scope_outputs\INPUT_SCOPE_DECISIONS.seed.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\scope_outputs\INPUT_SCOPE_DECISIONS.seed.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".html","9347","2026-04-06 20:21:05","INPUT_SCOPE_REVIEW.html","INPUT_SCOPE_REVIEW.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\INPUT_SCOPE_REVIEW.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","109652","2026-04-09 22:18:33","INPUT_SCOPE_SOURCE_MAP.json","INPUT_SCOPE_SOURCE_MAP.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\INPUT_SCOPE_SOURCE_MAP.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".html","12371","2026-04-06 19:13:21","IPTV_EPG_Reference.html","IPTV_EPG_Reference.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\IPTV_EPG_Reference.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","181","2026-02-21 00:06:59","lineups.csv","lineups.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","391","2026-02-21 00:06:59","lineups.json","lineups.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\lineups.json"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","4678","2026-01-09 19:43:33","Manual_Channel_Review.csv",".archive\Manual_Channel_Review.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Manual_Channel_Review.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".xlsx","39221","2026-01-09 19:43:07","Manual_Channel_Review.xlsx",".archive\Manual_Channel_Review.xlsx","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\Manual_Channel_Review.xlsx"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","126051","2026-01-08 22:14:42","match-for_anlysis-01-08-2025.csv",".archive\match-for_anlysis-01-08-2025.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\match-for_anlysis-01-08-2025.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".xlsx","80751","2026-01-08 18:04:06","match-for_anlysis-01-08-2025.xlsx",".archive\match-for_anlysis-01-08-2025.xlsx","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\match-for_anlysis-01-08-2025.xlsx"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","10634","2026-01-09 21:56:13","match-for_anlysis-manual_channel_review-01-08-2025.csv",".archive\match-for_anlysis-manual_channel_review-01-08-2025.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\.archive\match-for_anlysis-manual_channel_review-01-08-2025.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".txt","2993","2026-01-15 23:02:26","networks_list.txt","networks_list.txt","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\networks_list.txt"
"legacy_review_input","review_input","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files","reference_metadata",".xml","6592541","2025-11-30 11:59:45","open-epg-au.xml","open-epg-au.xml","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\open-epg-au.xml"
"legacy_review_input","review_input","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files","reference_metadata",".xml","23409316","2025-11-30 11:59:56","open-epg-ca.xml","open-epg-ca.xml","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\open-epg-ca.xml"
"legacy_review_input","review_input","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files","reference_metadata",".xml","26402632","2025-11-30 12:00:07","open-epg-uk.xml","open-epg-uk.xml","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\open-epg-uk.xml"
"legacy_review_input","review_input","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files","reference_metadata",".xml","37323357","2025-11-30 12:00:24","open-epg-us.xml","open-epg-us.xml","C:\Users\andrew\PROJECTS\iptv\inputs\review_from_legacy_load_files\open-epg-us.xml"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".bak","8407","2026-02-12 17:25:54","remove_lists_CA.bak","remove_lists_CA.bak","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_CA.bak"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".txt","8407","2026-01-15 10:52:57","remove_lists_CA.txt","remove_lists_CA.txt","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_CA.txt"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".bak","26096","2026-02-12 17:25:54","remove_lists_US.bak","remove_lists_US.bak","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_US.bak"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".txt","26096","2026-01-15 10:51:43","remove_lists_US.txt","remove_lists_US.txt","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_lists_US.txt"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".csv","263","2026-01-15 10:51:43","remove_summary.csv","remove_summary.csv","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\remove_summary.csv"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".html","2836","2026-04-09 22:18:47","SCOPE_OUTPUTS_INDEX.html","scope_outputs\SCOPE_OUTPUTS_INDEX.html","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\scope_outputs\SCOPE_OUTPUTS_INDEX.html"
"paid_xmltv_reference","reference_only","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV","reference_metadata",".json","10992","2026-04-09 22:18:47","UK_allowlist.json","scope_outputs\UK_allowlist.json","C:\Users\andrew\PROJECTS\GitHub\get_xmltvlisting\IPTV\scope_outputs\UK_allowlist.json"
