"media_type","sha256","canonical_file_name","canonical_relative_path","tivimate_deduped_path","runtime_deduped_path","source_file_count","size_bytes"
"epg","009C51448FB9ECC5259F9BFC788DB41B2CF36C2B3C6EE74F5D0507D98786E82C","009C51448F__epg_openepg_au1.xml.gz","009C51448F__epg_openepg_au1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\009C51448F__epg_openepg_au1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\009C51448F__epg_openepg_au1.xml.gz","1","107548"
"epg","022FEAC90DBE7DAF41E4C4161E2ED85AC7388AA7BAAB6B5A1240FE50CF096A0B","022FEAC90D__ontvtonight.com_us.channels.xml","022FEAC90D__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\022FEAC90D__ontvtonight.com_us.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\022FEAC90D__ontvtonight.com_us.channels.xml","1","259325"
"epg","06B9F4A1C20FBF99EC92A79BEC8087CE6B1A014B08F06B68DB8CA182DB1DE443","06B9F4A1C2__tvpassport.com.channels.xml","06B9F4A1C2__tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\06B9F4A1C2__tvpassport.com.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\06B9F4A1C2__tvpassport.com.channels.xml","1","1712659"
"epg","06C84A01064B68C0A03E6960E4C7D59D3BAE9EA4CCB149D0B846436E97020154","06C84A0106__ontvtonight.com_au.channels.xml","06C84A0106__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\06C84A0106__ontvtonight.com_au.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\06C84A0106__ontvtonight.com_au.channels.xml","1","174277"
"epg","071C0B0A16A6BF89BFB66B2FF7E9862A8CB9E7BD0D6DB327F4E214FA80D0EA4E","071C0B0A16__i.mjh.nz_pluto.channels.xml","071C0B0A16__i.mjh.nz_pluto.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\071C0B0A16__i.mjh.nz_pluto.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\071C0B0A16__i.mjh.nz_pluto.channels.xml","1","279446"
"epg","0C69D83EE7087692DF04B755F5DB9E9C765612221D51FF9C6B6FAA261A1586F8","0C69D83EE7__sat.tv_ar.channels.xml","0C69D83EE7__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\0C69D83EE7__sat.tv_ar.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\0C69D83EE7__sat.tv_ar.channels.xml","1","1780427"
"epg","11063A3521A648194739B083E9F9D166BC15A67E7E0CF9895211671B1BB90174","11063A3521__m.tv.sms.cz.channels.xml","11063A3521__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\11063A3521__m.tv.sms.cz.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\11063A3521__m.tv.sms.cz.channels.xml","1","101424"
"epg","13585D58C8CE76C80837433609297C3B2F15FA15C72CBA2ABE89A95A0EC3652B","13585D58C8__tv24.co.uk.channels.xml","13585D58C8__tv24.co.uk.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\13585D58C8__tv24.co.uk.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\13585D58C8__tv24.co.uk.channels.xml","1","109773"
"epg","13FFF8EAF7D174773A177CA9A3A01598C94A466C6585C56832A81EACA2CA3EA5","13FFF8EAF7__epg_openepg_ca1.xml.gz","13FFF8EAF7__epg_openepg_ca1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\13FFF8EAF7__epg_openepg_ca1.xml.gz","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\13FFF8EAF7__epg_openepg_ca1.xml.gz","1","415531"
"epg","14418F8864907111F010E766E5FADCD141ED87FD1F1F2E0276F9ED6182A69414","14418F8864__tv.blue.ch.channels.xml","14418F8864__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\epg\14418F8864__tv.blue.ch.channels.xml","C:\Users\andrew\PROJECTS\iptv\publish\runtime_hp\deduped\epg\14418F8864__tv.blue.ch.channels.xml","1","99560"
