"file_name","extension","size_bytes","sha256","full_path"
"01D382E78E__mx.m3u",".m3u","27637","01D382E78E0CD0D254C8582650EAC1CAA62D3BAA3CB46A8812ECA035CC3FA582","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\01D382E78E__mx.m3u"
"02CFDD9B0B__ng.m3u",".m3u","7359","02CFDD9B0B5FE22A8A1221BB4C20D79215FA1DD25E06F7A09AFB957097DDD645","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\02CFDD9B0B__ng.m3u"
"04090DD121__th.m3u",".m3u","5870","04090DD121E1AFAB1BE322AC500E0BCFE0AC5862A5B118499F3D62E614D40D54","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\04090DD121__th.m3u"
"049665073F__ru_zabava.m3u",".m3u","3782","049665073F342A9F8A966E0DDE7C6B1C562B2A5C0BF461A65DD7E80CA00E130F","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\049665073F__ru_zabava.m3u"
"04F1B340E4__playlist_src_us_roku.m3u",".m3u","5399","04F1B340E44A585B4530BD0B08C51EA61A43F01953D43791A0083E99828B5F4A","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\04F1B340E4__playlist_src_us_roku.m3u"
"051E8DE037__am_ucom.m3u",".m3u","21546","051E8DE037C686315D1F7CA374AF17B548DA7F32733D667AF819220F0CFE0CFC","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\051E8DE037__am_ucom.m3u"
"053B3C34D3__playlist_apsattv_lg.m3u",".m3u","159946","053B3C34D31D87F52029FB9E3641C988E0431EA30CACE0F6CFA7A7DE0178D714","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\053B3C34D3__playlist_apsattv_lg.m3u"
"07FA5D6A8B__pt.m3u",".m3u","8402","07FA5D6A8B6A3F90B920CED9F0FF733AE24F5226612D900741CE589526DE7669","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\07FA5D6A8B__pt.m3u"
"0886DDBC5F__index.region.m3u",".m3u","4338","0886DDBC5F361B6B1262EFDEBAC23F231EB086485D30CB5D694CB5D05610F87C","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\0886DDBC5F__index.region.m3u"
"0939C6EFA2__za.m3u",".m3u","2425","0939C6EFA21CFC1792E2CE7DB861FBD3554E952D27121C1AFA3F3C68B09C0ED3","C:\Users\andrew\PROJECTS\iptv\publish\tivimate\deduped\m3u\0939C6EFA2__za.m3u"
