"source_root","target_root","source_path","target_path","extension","size_bytes","last_write_time","status","detail"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\01D382E78E__mx.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\01D382E78E__mx.m3u",".m3u","27637","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\02CFDD9B0B__ng.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\02CFDD9B0B__ng.m3u",".m3u","7359","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\04090DD121__th.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\04090DD121__th.m3u",".m3u","5870","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\049665073F__ru_zabava.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\049665073F__ru_zabava.m3u",".m3u","3782","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\04F1B340E4__playlist_src_us_roku.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\04F1B340E4__playlist_src_us_roku.m3u",".m3u","5399","2025-08-11 02:55:23","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\051E8DE037__am_ucom.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\051E8DE037__am_ucom.m3u",".m3u","21546","2024-11-20 15:31:28","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\053B3C34D3__playlist_apsattv_lg.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\053B3C34D3__playlist_apsattv_lg.m3u",".m3u","159946","2025-08-11 02:55:31","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\07FA5D6A8B__pt.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\07FA5D6A8B__pt.m3u",".m3u","8402","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0886DDBC5F__index.region.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0886DDBC5F__index.region.m3u",".m3u","4338","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
"C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources","C:\Users\andrew\PROJECTS\iptv\collections\inputs_for_tivimate\m3u\0939C6EFA2__za.m3u","C:\Users\andrew\PROJECTS\iptv\inputs\m3u_sources\0939C6EFA2__za.m3u",".m3u","2425","2024-11-20 15:31:29","COPIED","Copied into canonical input target"
