data_key,scope_order,selected_channel_name,tvg_id,network,feed,location,group_title,match_status,matched_channel_count,matched_channel_names,matched_tvg_ids
tvg_id::1,1,A&E (East),1,A&E,East,,Entertainment,matched,1,A&E (East),1
tvg_id::2,2,ABC 7 WABC NEW YORK,2,ABC,,"New York, NY",Local Channels,matched,1,ABC 7 WABC NEW YORK,2
tvg_id::3301,3,ABC KGTV San Diego CA,3301,ABC,,"San Diego, CA",Local Channels,matched,1,ABC KGTV San Diego CA,3301
tvg_id::6,4,AMC (East),6,AMC,East,,Entertainment,matched,1,AMC (East),6
tvg_id::7,5,AMC (West),7,AMC,West,,Entertainment,matched,1,AMC (West),7
tvg_id::9,6,Animal Planet (East),9,Animal Planet,East,,Entertainment,matched,1,Animal Planet (East),9
tvg_id::10,7,Animal Planet (West),10,Animal Planet,West,,Entertainment,matched,1,Animal Planet (West),10
tvg_id::39,8,Bravo (East),39,Bravo,East,,Entertainment,matched,1,Bravo (East),39
tvg_id::40,9,Bravo (West),40,Bravo,West,,Entertainment,matched,1,Bravo (West),40
tvg_id::5100,10,CA | San Diego | ABC KGTV,5100,ABC,,"San Diego, CA",ABC - LOCAL,matched,1,CA | San Diego | ABC KGTV,5100
tvg_id::5581,11,CA | San Diego | CBS KFMB,5581,CBS,,"San Diego, CA",CBS - LOCAL,matched,1,CA | San Diego | CBS KFMB,5581
tvg_id::5677,12,CA | San Diego | FOX KSWB,5677,FOX,,"San Diego, CA",FOX - LOCAL,matched,1,CA | San Diego | FOX KSWB,5677
tvg_id::44,13,CBS 2 (WCBS) New York,44,CBS,,"New York, NY",Local Channels,matched,1,CBS 2 (WCBS) New York,44
tvg_id::3300,14,CBS KFMB San Diego CA,3300,CBS,,"San Diego, CA",Local Channels,matched,1,CBS KFMB San Diego CA,3300
tvg_id::47,15,Cinemax East,47,Cinemax,East,,Movies,matched,1,Cinemax East,47
tvg_id::48,16,Cinemax West,48,Cinemax,West,,Movies,matched,1,Cinemax West,48
tvg_id::49,17,CMT,49,CMT,,,Entertainment,matched,1,CMT,49
tvg_id::51,18,Comedy Central (East),51,Comedy Central,East,,Entertainment,matched,1,Comedy Central (East),51
tvg_id::52,19,Comedy Central (West),52,Comedy Central,West,,Entertainment,matched,1,Comedy Central (West),52
tvg_id::54,20,CW PIX11 (WPIX) New York,54,The CW,,"New York, NY",Local Channels,matched,1,CW PIX11 (WPIX) New York,54
